Method Finner Holm Hochberg Holland
NDE 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
GOTLBO 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
IJAYA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
PSO 8.017150832E-11 2.960178769E-10 2.849243064E-10 2.960178769E-10
DE 8.231146629E-11 2.960178769E-10 2.849243064E-10 2.960178769E-10
MABC 1.476598177E-10 4.543379006E-10 4.543379006E-10 4.543379006E-10
TLBO 9.867906430E-02 2.524706821E-01 2.524706821E-01 2.318195650E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
