Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
DE 7.738112375E-11 2.678577360E-10 2.678577360E-10 2.678577360E-10
CWOA 1.322140175E-10 4.881748339E-10 4.881748339E-10 4.881748338E-10
MABC 1.587091093E-10 5.982112583E-10 5.078737431E-10 5.982112581E-10
GOTLBO 1.587091093E-10 5.982112583E-10 5.078737431E-10 5.982112581E-10
IJAYA 1.587091093E-10 5.982112583E-10 5.078737431E-10 5.982112581E-10
NDE 1.109204684E-09 3.412937488E-09 3.412937488E-09 3.412937484E-09
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
