Method Finner Holm Hochberg Holland
NNA 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
CWOA 9.810041668E-12 1.811084616E-11 1.811084616E-11 1.811084616E-11
PSO 9.630111525E-11 2.444566771E-10 2.362376961E-10 2.444566771E-10
IJAYA 9.630111525E-11 2.444566771E-10 2.362376961E-10 2.444566771E-10
GOTLBO 8.501485736E-10 2.942821986E-09 2.942821986E-09 2.942821982E-09
ISCA 1.658479168E-09 6.123615393E-09 6.123615393E-09 6.123615376E-09
WW 5.782143582E-09 2.179423353E-08 2.179423353E-08 2.179423333E-08
MABC 2.445379466E-03 9.033344283E-03 9.033344283E-03 8.999411913E-03
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
