Method Finner Holm Hochberg Holland
PSO 1.148860486E-03 1.149470111E-03 1.149470111E-03 1.148860486E-03
NNA 7.906990786E-01 1.000000000E+00 1.000000000E+00 9.442764177E-01
ISCA 8.589872206E-01 1.000000000E+00 1.000000000E+00 9.930749111E-01
WW 8.589872206E-01 1.000000000E+00 1.000000000E+00 9.954136913E-01
CWOA 9.692314770E-01 1.000000000E+00 1.000000000E+00 9.999941585E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
