Method Finner Holm Hochberg Holland
PSO 3.233034307E-05 3.233082551E-05 3.233082551E-05 3.233034307E-05
NNA 2.442297914E-01 5.059791742E-01 5.059791742E-01 4.036670541E-01
ISCA 3.343779505E-01 9.861962128E-01 9.861962128E-01 6.441472589E-01
WW 3.343779505E-01 1.000000000E+00 1.000000000E+00 6.855193293E-01
CWOA 5.448641442E-01 1.000000000E+00 1.000000000E+00 9.344395239E-01
GOTLBO 7.043803213E-01 1.000000000E+00 1.000000000E+00 9.888881942E-01
IJAYA 7.427946730E-01 1.000000000E+00 1.000000000E+00 9.940130025E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
