Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
NNA 3.062372578E-11 5.653610913E-11 5.653610913E-11 5.653610913E-11
ISCA 5.162362714E-07 1.310446180E-06 1.310446180E-06 1.310445399E-06
WW 1.817705620E-03 5.596463094E-03 5.596463094E-03 5.582389927E-03
CWOA 9.532389825E-01 1.000000000E+00 1.000000000E+00 9.999751256E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
