Method Finner Holm Hochberg Holland
NDE 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
GOTLBO 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
IJAYA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
MABC 1.308148510E-10 4.930713615E-10 4.684692634E-10 4.930713615E-10
PSO 1.308148510E-10 4.930713615E-10 4.684692634E-10 4.930713615E-10
DE 1.377386107E-10 4.930713615E-10 4.767874984E-10 4.930713615E-10
ISCA 2.506621033E-06 7.712682333E-06 7.712682333E-06 7.712660026E-06
TLBO 3.019154157E-04 7.664184718E-04 7.664184718E-04 7.662226894E-04
EBLSHADE 5.798891392E-02 1.073003547E-01 1.073003547E-01 1.044220132E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
