Method Finner Holm Hochberg Holland
PSO 8.533776352E-01 1.000000000E+00 1.000000000E+00 8.533776352E-01
ISCA 9.999812656E-01 1.000000000E+00 1.000000000E+00 1.000000000E+00
NNA 9.999812656E-01 1.000000000E+00 1.000000000E+00 9.999999981E-01
WW 9.999812656E-01 1.000000000E+00 1.000000000E+00 9.999999998E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
