Method Finner Holm Hochberg Holland
MABC 7.822631432E-13 7.822631432E-13 7.822631432E-13 7.822631432E-13
IJAYA 7.822631432E-13 1.199040867E-12 1.199040867E-12 1.199040867E-12
GOTLBO 1.183497744E-12 3.004263505E-12 3.004263505E-12 3.004263505E-12
CWOA 7.720157846E-12 2.375433183E-11 2.375433183E-11 2.375433183E-11
WW 9.080660670E-11 3.143305616E-10 3.143305616E-10 3.143305616E-10
ISCA 1.232839016E-10 4.552020982E-10 4.552020982E-10 4.552020982E-10
DE 1.844190514E-10 6.951179632E-10 6.951179632E-10 6.951179630E-10
NNA 4.554582821E-10 1.681692119E-09 1.681692119E-09 1.681692118E-09
PSO 1.928990991E-09 6.677276509E-09 6.677276509E-09 6.677276492E-09
NDE 4.083142373E-06 1.256352091E-05 1.256352091E-05 1.256346172E-05
TLBO 1.188546388E-01 3.046011696E-01 3.046011696E-01 2.747205997E-01
EBLSHADE 9.048280221E-01 1.000000000E+00 1.000000000E+00 9.869931948E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
