B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.150535618E+00 1.13066901E+00 1.986660800E-02 1.150534795E+00 1.130126630E+00 2.040816500E-02
1.500000000E+01 295 1.155072075E+00 1.13665624E+00 1.841583500E-02 1.155070875E+00 1.13601464E+00 1.905623500E-02
1.500000000E+01 300 1.158073752E+00 1.141142342E+00 1.693141000E-02 1.158072096E+00 1.141140699E+00 1.693139700E-02
1.500000000E+01 305 1.143009556E+00 1.145702444E+00 -2.692888000E-03 1.143007875E+00 1.145700158E+00 -2.692283000E-03
1.500000000E+01 310 1.124317125E+00 1.148666441E+00 -2.434931600E-02 1.124304919E+00 1.148663082E+00 -2.435816300E-02
1.500000000E+01 315 1.103184737E+00 1.132861114E+00 -2.967637700E-02 1.103183312E+00 1.132857779E+00 -2.967446700E-02
1.500000000E+01 320 1.084522753E+00 1.103549573E+00 -1.902682000E-02 1.084521574E+00 1.103536892E+00 -1.901531800E-02
1.500000000E+01 325 1.018462628E+00 1.075438148E+00 -5.697552000E-02 1.018462583E+00 1.075436313E+00 -5.697373000E-02
1.500000000E+01 330 1.016891881E+00 1.055397002E+00 -3.850512100E-02 1.016888337E+00 1.055395558E+00 -3.850722100E-02
1.500000000E+01 335 1.015722484E+00 1.017974516E+00 -2.252032000E-03 1.015719585E+00 1.017969518E+00 -2.249933000E-03
1.500000000E+01 340 1.017873104E+00 1.016665569E+00 1.207535000E-03 1.017870434E+00 1.016660888E+00 1.209546000E-03
1.524993176E+01 290 1.16316255E+00 1.13527232E+00 2.789023000E-02 1.16316255E+00 1.13527232E+00 2.789023000E-02
1.524993176E+01 295 1.163405474E+00 1.140286360E+00 2.311911400E-02 1.163403828E+00 1.1408976E+00 2.250622800E-02
1.524993176E+01 300 1.168752900E+00 1.146260021E+00 2.249287900E-02 1.168750738E+00 1.146257938E+00 2.249280000E-02
1.524993176E+01 305 1.173110521E+00 1.152269366E+00 2.084115500E-02 1.173107636E+00 1.152266560E+00 2.084107600E-02
1.524993176E+01 310 1.175811798E+00 1.157356435E+00 1.845536300E-02 1.175807978E+00 1.157352606E+00 1.845537200E-02
