fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00S1 8:43 297.7 38.95 1.000E+000 9.981E-001 6.571E-011 1.783E+004 2.849E+000 7.320E-006 1.244E-005 5.920E-002 1.244E-005 2.122E-007 2.881E-001 3.180E-002 6.651E-006 1.409E-002 
00S2 8:59 299.2 38.75 1.000E+000 9.563E-001 8.233E-011 1.691E+004 2.829E+000 7.680E-006 1.222E-005 5.619E-002 1.222E-005 1.963E-007 2.859E-001 3.000E-002 6.523E-006 1.830E-003 
00S3 9:21 301.7 38.43 1.000E+000 1.034E+000 1.222E-010 1.543E+004 2.801E+000 8.426E-006 1.222E-005 5.225E-002 1.221E-005 1.807E-007 2.832E-001 2.780E-002 6.477E-006 3.188E-002 
00S4 10:10 303.2 38.24 1.000E+000 1.014E+000 1.541E-010 1.458E+004 2.800E+000 9.044E-006 1.233E-005 5.013E-002 1.233E-005 1.741E-007 2.816E-001 2.660E-002 6.519E-006 4.790E-003 
00S5 10:34 305.4 37.96 1.000E+000 1.110E+000 2.264E-010 1.337E+004 2.791E+000 9.965E-006 1.255E-005 4.734E-002 1.255E-005 1.660E-007 2.795E-001 2.500E-002 6.614E-006 1.889E-003 
00S6 10:50 307.7 37.68 1.000E+000 1.136E+000 3.291E-010 1.217E+004 2.776E+000 1.099E-005 1.242E-005 4.348E-002 1.242E-005 1.495E-007 2.768E-001 2.290E-002 6.499E-006 2.135E-003 
00S7 11:11 309.7 37.44 1.000E+000 1.162E+000 4.595E-010 1.117E+004 2.772E+000 1.211E-005 1.235E-005 4.026E-002 1.235E-005 1.365E-007 2.746E-001 2.110E-002 6.439E-006 7.774E-003 
00S8 11:27 311.9 37.17 1.000E+000 1.149E+000 6.474E-010 1.014E+004 2.757E+000 1.337E-005 1.239E-005 3.723E-002 1.239E-005 1.257E-007 2.725E-001 1.940E-002 6.444E-006 1.180E-003 
00S9 11:49 314.9 36.82 1.000E+000 1.118E+000 1.030E-009 8.827E+003 2.747E+000 1.525E-005 1.283E-005 3.438E-002 1.282E-005 1.192E-007 2.704E-001 1.790E-002 6.623E-006 3.354E-002 
0S10 12:5 317.4 36.53 1.000E+000 1.086E+000 1.468E-009 7.828E+003 2.730E+000 1.687E-005 1.246E-005 3.061E-002 1.245E-005 1.021E-007 2.678E-001 1.580E-002 6.421E-006 8.510E-004 
0S11 12:26 319.1 36.33 1.000E+000 1.139E+000 1.933E-009 7.199E+003 2.737E+000 1.859E-005 1.199E-005 2.746E-002 1.199E-005 8.748E-008 2.657E-001 1.420E-002 6.117E-006 1.400E-003 
0S12 12:42 322 36.01 1.000E+000 1.055E+000 2.766E-009 6.223E+003 2.710E+000 2.052E-005 1.259E-005 2.588E-002 1.258E-005 8.614E-008 2.646E-001 1.330E-002 6.428E-006 9.872E-004 
0S13 13:3 324.3 35.75 1.000E+000 1.115E+000 3.930E-009 5.539E+003 2.711E+000 2.320E-005 1.222E-005 2.274E-002 1.222E-005 7.296E-008 2.626E-001 1.170E-002 6.182E-006 7.515E-004 
0S14 13:18 326.3 35.53 1.000E+000 1.113E+000 5.186E-009 5.012E+003 2.702E+000 2.529E-005 1.200E-005 2.062E-002 1.199E-005 6.458E-008 2.612E-001 1.050E-002 6.092E-006 9.063E-004 
0S15 13:40 327.7 35.38 1.000E+000 1.127E+000 6.389E-009 4.680E+003 2.712E+000 2.747E-005 1.179E-005 1.899E-002 1.178E-005 5.820E-008 2.603E-001 9.700E-003 5.938E-006 2.053E-003 
0S16 13:55 329.7 35.17 1.000E+000 1.145E+000 8.353E-009 4.263E+003 2.708E+000 3.000E-005 1.198E-005 1.780E-002 1.197E-005 5.530E-008 2.595E-001 9.100E-003 6.009E-006 7.016E-004 
0S17 14:14 332.4 34.88 1.000E+000 1.079E+000 1.153E-008 3.805E+003 2.706E+000 3.412E-005 1.232E-005 1.637E-002 1.231E-005 5.214E-008 2.587E-001 8.300E-003 6.206E-006 1.525E-003 
