fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 rmsre
d74b0Vn1Nt 1.4326369E+13 2.8537291E-1 7.6652617E-3 3.8943797E+13 2.9998713E-1 1.4848334E-2 2.2325340E+13 3.3020712E-1 3.7283643E-2 1.4344408E-1
d74a0Vn1Nt 5.3323495E+12 2.8561279E-1 7.7576426E-3 2.7617262E+13 3.0334591E-1 1.6656519E-2 1.6524083E+13 3.3662283E-1 3.5097915E-2 1.1466275E-1
d54c0Vn1Nt 2.1304532E+13 2.9070475E-1 7.6513103E-3 3.0205251E+14 3.1583276E-1 2.0947782E-2 7.5746109E+13 3.4813095E-1 3.2029608E-2 1.1094714E-1
d54a0Vn1Nt 9.9137843E+12 2.8997350E-1 8.2105773E-3 2.0887452E+14 3.3116507E-1 2.5481781E-2 1.8408645E+13 3.8936205E-1 2.0274719E-2 5.4468461E-2
d52b0Vn1Nt 3.0674204E+16 2.8628364E-1 2.8032315E-4 2.3537865E+14 3.1656057E-1 2.6163937E-2 3.8378196E+13 3.9821403E-1 4.5368760E-2 1.1580361E-1
d52a0Vn1Nt 9.0483304E+12 2.9032577E-1 7.2417730E-3 1.7844980E+14 3.2056286E-1 2.3156202E-2 4.1515425E+13 3.6911036E-1 3.8120795E-2 6.4370116E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 rmsre
d74b0Vn1Nt 5.8819808E+12 2.8194513E-1 5.0793019E-3 1.5539225E+13 2.9071125E-1 8.9213010E-3 3.0511343E+13 3.0326767E-1 1.5208565E-2 2.4963194E+13 3.2440186E-1 4.4027993E-2 1.0519698E-1
d74a0Vn1Nt 2.7431559E+12 2.8186242E-1 5.3342384E-3 6.8043645E+12 2.9187576E-1 9.4773047E-3 2.2420676E+13 3.0665665E-1 1.6219605E-2 1.7603099E+13 3.3382330E-1 3.8263522E-2 8.9693639E-2
d54c0Vn1Nt 2.3821646E+13 2.8780206E-1 7.0706024E-3 7.5488935E+13 3.0335439E-1 1.3754774E-2 2.4062432E+14 3.2262680E-1 1.9931334E-2 5.6736112E+13 3.5688646E-1 3.4659971E-2 5.6839460E-2
d54b0Vn1Nt 1.4659685E+13 2.8711777E-1 6.8675095E-3 3.5938622E+13 3.0126884E-1 1.3558934E-2 7.8139497E+13 3.2694965E-1 2.4027370E-2 1.7029127E+14 4.0091427E-1 4.8490992E-2 2.0875292E-2
d54a0Vn1Nt 8.9147848E+12 2.8987950E-1 7.8420644E-3 2.1308783E+14 3.3142844E-1 2.5978790E-2 1.3517702E+13 3.8957067E-1 1.5783147E-2 1.0203270E+12 4.1102945E-1 3.8972198E-3 4.8932510E-2
d52b0Vn1Nt 7.8157107E+12 2.8453960E-1 5.0587875E-3 1.4074232E+13 2.9516854E-1 9.4390620E-3 1.9529069E+14 3.1947689E-1 2.2969045E-2 4.5460854E+13 3.7385084E-1 4.3476736E-2 3.1121828E-2
d52a0Vn1Nt 5.1780517E+12 2.8625962E-1 4.8079481E-3 9.5289606E+12 2.9663244E-1 8.9220655E-3 1.6874802E+14 3.2154152E-1 2.2430013E-2 4.4372707E+13 3.6671895E-1 3.8817403E-2 3.8291413E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d74b0Vn1Nt 4.9123878E+12 2.8164639E-1 4.8647166E-3 1.4536281E+13 2.8961835E-1 8.7506614E-3 3.3088601E+13 3.0175624E-1 1.5146839E-2 1.9321272E+13 3.2563441E-1 3.4221596E-2 4.5094325E+14 9.6599055E-1 2.3074916E-1 9.1535397E-2
d74a0Vn1Nt 2.4218023E+12 2.8139996E-1 5.2072235E-3 6.3500679E+12 2.9052941E-1 9.2505950E-3 2.4347454E+13 3.0539520E-1 1.6219817E-2 1.4154916E+13 3.3543696E-1 3.0918497E-2 4.4493725E+15 1.0259333E+0 1.8240208E-1 5.9323475E-2
d54c0Vn1Nt 1.2597053E+13 2.8561520E-1 5.2786391E-3 3.1141261E+13 2.9537801E-1 9.4415537E-3 1.9421810E+14 3.1455538E-1 1.7771608E-2 1.3270381E+14 3.3343995E-1 2.3471841E-2 1.3888532E+15 8.2812828E-1 2.0097148E-1 2.7660893E-2
