fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_305 001_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.671231580E-15 1.000000000E+20 1.209681278E+00 5.730505069E-16 3.855916337E-04 
001_305_SRH 001_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.600567502E-15 1.000000000E+20 1.218706696E+00 5.560624273E-16 6.381774476E-04 
002_305 002_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.395819377E-15 1.000000000E+20 1.212605042E+00 8.327087671E-16 4.455514682E-04 
002_305_SRH 002_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.329818935E-15 1.000000000E+20 1.218820823E+00 8.158919157E-16 6.432550047E-04 
003_305 003_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.437985168E-15 1.000000000E+20 1.214728746E+00 1.213582026E-15 4.998193020E-04 
003_305_SRH 003_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.378708469E-15 1.000000000E+20 1.218984711E+00 1.196942195E-15 6.506683042E-04 
004_305 004_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.923676290E-15 1.000000000E+20 1.216318608E+00 1.772007449E-15 5.484513724E-04 
004_305_SRH 004_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.873954401E-15 1.000000000E+20 1.219217960E+00 1.755572532E-15 6.614654273E-04 
005_305 005_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.015501871E-15 1.000000000E+20 1.217579804E+00 2.590342913E-15 5.933251983E-04 
005_305_SRH 005_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.979127618E-15 1.000000000E+20 1.219545271E+00 2.574163246E-15 6.771356458E-04 
006_305 006_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.091114123E-14 1.000000000E+20 1.218670685E+00 3.788847798E-15 6.377181682E-04 
006_305_SRH 006_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.893001929E-15 1.000000000E+20 1.219996104E+00 3.772996794E-15 6.997634601E-04 
007_305 007_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.483028403E-14 1.000000000E+20 1.219712461E+00 5.542952826E-15 6.859593316E-04 
007_305_SRH 007_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.383632871E-14 1.000000000E+20 1.220601051E+00 5.527524923E-15 7.322037838E-04 
008_305 008_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.998572478E-14 1.000000000E+20 1.220793414E+00 8.108448625E-15 7.432545225E-04 
008_305_SRH 008_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.902261818E-14 1.000000000E+20 1.221385158E+00 8.093553290E-15 7.782458463E-04 
009_305 009_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.654996308E-14 1.000000000E+20 1.222761702E+00 1.186135279E-14 8.155128766E-04 
009_305_SRH 009_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.563505069E-14 1.000000000E+20 1.224230821E+00 1.185122946E-14 8.426742835E-04 
010_305 010_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.464560847E-14 1.000000000E+20 1.227868349E+00 1.736530315E-14 9.111182403E-04 
010_305_SRH 010_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.377528704E-14 1.000000000E+20 1.229042760E+00 1.735783923E-14 9.335996480E-04 
011_305 011_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.429626741E-14 1.000000000E+20 1.234553711E+00 2.544094205E-14 1.042521932E-03 
011_305_SRH 011_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.347391648E-14 1.000000000E+20 1.235523784E+00 2.543729553E-14 1.062307418E-03 
012_305 012_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.539088090E-14 1.000000000E+20 1.237169974E+00 3.721649201E-14 1.201362874E-03 
012_305_SRH 012_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.459895537E-14 1.000000000E+20 1.237289470E+00 3.720506895E-14 1.216141053E-03 
013_305 013_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.800017217E-14 1.000000000E+20 1.238980740E+00 5.448637159E-14 1.393847502E-03 
013_305_SRH 013_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.725163180E-14 1.000000000E+20 1.239009148E+00 5.446888960E-14 1.406954154E-03 
014_305 014_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.237464632E-14 1.000000000E+20 1.240365348E+00 7.973993096E-14 1.627707115E-03 
014_305_SRH 014_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.166514554E-14 1.000000000E+20 1.240429901E+00 7.973176056E-14 1.638778694E-03 
015_305 015_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.913623329E-14 1.000000000E+20 1.245849023E+00 1.180217916E-13 1.916897893E-03 
015_305_SRH 015_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.848381170E-14 1.000000000E+20 1.246390150E+00 1.181671867E-13 1.930897991E-03 
016_305 016_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.185465461E-13 1.000000000E+20 1.249597598E+00 1.740922216E-13 2.262307163E-03 
016_305_SRH 016_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.178888163E-13 1.000000000E+20 1.249620549E+00 1.740834384E-13 2.271313504E-03 
017_305 017_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.409028834E-13 1.000000000E+20 1.250512032E+00 2.550754841E-13 2.623292678E-03 
017_305_SRH 017_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.402446689E-13 1.000000000E+20 1.250468076E+00 2.550702416E-13 2.631903273E-03 
018_305 018_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.693189646E-13 1.000000000E+20 1.263444248E+00 3.772262560E-13 3.070100781E-03 
018_305_SRH 018_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.686896952E-13 1.000000000E+20 1.263465985E+00 3.772262572E-13 3.077578675E-03 
019_305 019_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.029456555E-13 1.000000000E+20 1.269671483E+00 5.530178135E-13 3.479539730E-03 
019_305_SRH 019_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.023274298E-13 1.000000000E+20 1.269675819E+00 5.530042197E-13 3.485943842E-03 
