Model MSEav MSEstd MREav MREstd R2av R2std
Rf1p360e15EfC 8.947399e-02 5.141687e-02 3.232876e-01 1.198133e-01 8.520935e-01 5.875472e-02
Gb1p360e15EfC 8.360884e-02 2.694041e-02 3.763522e-01 9.735318e-02 7.943142e-01 8.349428e-02
Xg1p360e15EfC 5.073098e-03 1.328932e-03 8.505730e-02 1.277662e-02 9.855148e-01 8.266992e-03
1p360e15EfC 9.520207e-03 5.767999e-03 1.131081e-01 3.051219e-02 9.718220e-01 1.328461e-02
Sv1p360e15EfC 5.604031e-03 2.175950e-03 8.655578e-02 1.646246e-02 9.769414e-01 8.449773e-03
Rf1p360e15EfP 5.714900e-02 1.327780e-02 2.874120e-01 4.353835e-02 8.878566e-01 1.190304e-02
Gb1p360e15EfP 6.663186e-02 2.771380e-02 3.279018e-01 8.915381e-02 8.571812e-01 3.300170e-02
Xg1p360e15EfP 3.790782e-03 1.241701e-03 7.070580e-02 1.345218e-02 9.886607e-01 8.787217e-03
1p360e15EfP 6.462065e-03 2.344326e-03 9.142974e-02 1.929482e-02 9.791382e-01 1.802135e-02
Sv1p360e15EfP 3.685918e-03 1.449252e-03 6.851068e-02 1.183202e-02 9.876180e-01 1.071322e-02
Rf1p360e15MbC 9.167660e-02 3.132466e-02 3.809612e-01 9.404283e-02 8.896172e-01 4.564191e-02
Gb1p360e15MbC 4.889170e-02 1.484592e-02 2.667073e-01 3.614351e-02 9.178717e-01 3.377733e-02
Xg1p360e15MbC 3.566081e-02 9.753648e-03 2.216992e-01 4.761244e-02 9.117629e-01 4.616386e-02
1p360e15MbC 4.419121e-02 8.997558e-03 2.689167e-01 3.503115e-02 8.749049e-01 3.842150e-02
Sv1p360e15MbC 3.472882e-02 7.316593e-03 1.997619e-01 3.577996e-02 9.261284e-01 6.879774e-02
Rf1p360e15MbP 6.549128e-02 2.206944e-02 3.120121e-01 6.313946e-02 8.795224e-01 4.802257e-02
Gb1p360e15MbP 5.538488e-02 2.167092e-02 2.764378e-01 6.629549e-02 8.651431e-01 3.013168e-02
Xg1p360e15MbP 3.307021e-02 1.096430e-02 1.928553e-01 4.843000e-02 9.651001e-01 1.393692e-02
1p360e15MbP 2.777161e-02 8.393671e-03 1.756222e-01 2.573553e-02 9.580708e-01 2.188715e-02
Sv1p360e15MbP 5.270457e-02 2.769052e-02 2.660045e-01 1.067014e-01 9.653547e-01 1.739677e-02
Rf1p360e15NNC 1.076132e-01 5.965917e-02 4.474171e-01 2.761849e-01 8.870039e-01 8.848132e-02
Gb1p360e15NNC 1.033563e-01 6.730305e-02 4.322100e-01 2.505215e-01 8.884495e-01 3.745729e-02
Xg1p360e15NNC 1.127167e-02 3.190240e-03 1.173803e-01 2.672802e-02 9.119604e-01 6.987720e-02
1p360e15NNC 1.334005e-02 5.065612e-03 1.278729e-01 2.908643e-02 9.750391e-01 1.074155e-02
Sv1p360e15NNC 1.227246e-02 4.408807e-03 1.252231e-01 2.213900e-02 9.153395e-01 5.119026e-02
Rf1p360e15NNP 4.043533e-02 1.987586e-02 2.129045e-01 6.125163e-02 9.597374e-01 1.185060e-02
Gb1p360e15NNP 5.579910e-02 2.110405e-02 2.798096e-01 7.289128e-02 8.826928e-01 3.473881e-02
Xg1p360e15NNP 1.029253e-02 2.740728e-03 1.132762e-01 1.833152e-02 9.736143e-01 1.885951e-02
1p360e15NNP 1.745349e-02 1.713604e-02 1.360590e-01 6.843533e-02 9.776075e-01 8.464203e-03
Sv1p360e15NNP 7.713683e-03 2.334817e-03 9.517660e-02 1.105061e-02 9.746677e-01 1.352621e-02
Rf1p360e15RsC 3.147568e-01 1.722422e-01 9.299820e-01 4.984744e-01 6.081635e-01 1.903995e-01
Gb1p360e15RsC 3.559461e-01 2.912615e-02 8.762897e-01 1.209828e-01 5.124238e-01 1.603429e-01
Xg1p360e15RsC 1.993097e-01 5.042481e-02 6.311570e-01 1.951634e-01 7.452493e-01 5.416634e-02
1p360e15RsC 1.514897e-01 1.251532e-01 5.639592e-01 4.583836e-01 8.581478e-01 3.431083e-02
Rf1p360e15RsP 4.535597e-02 2.511668e-02 2.237116e-01 7.802144e-02 8.496762e-01 9.740394e-02
Gb1p360e15RsP 4.060340e-02 4.307849e-03 2.244607e-01 2.708198e-02 8.809442e-01 6.570236e-02
Xg1p360e15RsP 1.613086e-02 6.310135e-03 1.354409e-01 2.816320e-02 9.681351e-01 8.970399e-03
1p360e15RsP 2.034410e-02 7.807003e-03 1.624694e-01 3.875539e-02 9.278784e-01 2.706717e-02
Sv1p360e15RsP 1.927834e-02 8.060677e-03 1.506839e-01 3.760654e-02 9.690233e-01 1.264275e-02
Rf1p360e15XcC 1.310823e-01 1.674672e-02 4.514875e-01 5.023748e-02 7.527012e-01 4.789755e-02
Gb1p360e15XcC 9.553238e-02 1.913954e-02 3.811689e-01 5.955824e-02 8.343209e-01 4.228589e-02
Xg1p360e15XcC 3.619573e-02 1.326776e-02 2.007776e-01 1.353620e-02 8.739253e-01 6.363623e-02
1p360e15XcC 4.248111e-02 2.282419e-02 2.103413e-01 4.997368e-02 8.754797e-01 1.137079e-01
Sv1p360e15XcC 3.075239e-02 1.263086e-02 1.778627e-01 4.176684e-02 9.508370e-01 3.511175e-02
Rf1p360e15XcP 7.684475e-02 9.478364e-03 3.163736e-01 3.086733e-02 8.209222e-01 1.044373e-01
Gb1p360e15XcP 9.028711e-02 4.419298e-02 3.490592e-01 1.369159e-01 7.195176e-01 1.156419e-01
Xg1p360e15XcP 2.060080e-02 6.935276e-03 1.623836e-01 3.915728e-02 9.642998e-01 1.560022e-02
1p360e15XcP 1.884702e-02 5.574297e-03 1.562346e-01 1.957947e-02 9.672415e-01 1.838918e-02
Sv1p360e15XcP 2.234555e-02 4.894954e-03 1.669900e-01 2.081724e-02 9.663436e-01 1.289403e-02
Rf1p360e15YOL 3.004733e-01 1.407935e-01 8.781379e-01 4.791287e-01 5.038443e-01 1.071856e-01
Xg1p360e15YOL 1.317835e-01 6.700002e-03 4.946694e-01 7.157598e-02 6.639863e-01 2.207776e-01
1p360e15YOL 1.331779e-01 2.848775e-02 4.997851e-01 8.833123e-02 7.682394e-01 7.579042e-02
Sv1p360e15YOL 9.034461e-02 2.365958e-02 3.795126e-01 5.238999e-02 8.006728e-01 9.462690e-02
Rf1p360e15YOL2 2.869143e-01 8.414639e-02 8.351049e-01 2.991637e-01 5.036956e-01 1.283745e-01
Gb1p360e15YOL2 2.246866e-01 7.283287e-02 7.222854e-01 2.523131e-01 5.019657e-01 8.460650e-02
Xg1p360e15YOL2 5.197630e-02 2.939378e-02 2.773430e-01 1.009475e-01 8.519978e-01 8.040645e-02
1p360e15YOL2 5.691373e-02 2.173096e-02 3.034312e-01 7.286657e-02 9.114784e-01 3.570359e-02
Sv1p360e15YOL2 6.122056e-02 6.917263e-03 3.101918e-01 4.027276e-02 8.712593e-01 5.220083e-02
Gb1p360e15YOL 2.860024e-01 8.921947e-02 8.701613e-01 3.248836e-01 4.538252e-01 1.299724e-01
Sv1p360e15YOfl 5.912178e-02 3.226995e-02 2.932180e-01 1.211490e-01 8.646515e-01 4.039612e-02
Sv1p360e15YOfl2 4.172972e-02 5.809638e-03 2.463805e-01 1.814946e-02 9.191153e-01 4.265631e-02
Rf1p360e15EfPp 5.793969e-02 2.548148e-02 3.040188e-01 9.027632e-02 8.307487e-01 5.653407e-02
Gb1p360e15EfPp 1.659281e-01 2.423076e-02 6.008906e-01 6.010355e-02 7.048116e-01 6.475253e-02
Xg1p360e15EfPp 6.410795e-03 2.277845e-03 9.273310e-02 1.291404e-02 9.762261e-01 1.128542e-02
1p360e15EfPp 8.273073e-03 3.039076e-03 1.001907e-01 2.296559e-02 9.871861e-01 8.273590e-03
Sv1p360e15EfPp 8.628382e-03 3.401120e-03 1.036488e-01 2.399715e-02 9.663490e-01 2.318744e-02
Rf1p360e15YOflp 4.388582e-01 1.176576e-01 1.340299e+00 4.075045e-01 4.310825e-01 7.975707e-02
Xg1p360e15YOflp 4.247553e-01 1.277189e-01 1.222766e+00 3.986913e-01 3.760210e-01 1.553121e-01
1p360e15YOflp 6.825995e-02 2.141313e-02 3.254806e-01 7.629706e-02 8.245394e-01 5.685542e-02
Sv1p360e15YOflp 5.291327e-02 1.504634e-02 2.803396e-01 5.265247e-02 8.401364e-01 5.692185e-02
Rf1p360e15YOfl2p 1.960573e-01 6.073293e-02 6.843669e-01 1.887015e-01 6.710448e-01 1.208325e-01
Gb1p360e15YOfl2p 5.264061e-01 1.385010e-01 1.606976e+00 5.319241e-01 3.251512e-01 1.371021e-01
Xg1p360e15YOfl2p 2.163916e-01 8.548752e-02 7.665516e-01 2.775506e-01 6.479060e-01 6.128514e-02
1p360e15YOfl2p 4.526550e-02 8.156798e-03 2.601101e-01 4.592266e-02 8.262683e-01 1.883199e-02
Sv1p360e15YOfl2p 4.834197e-02 6.756562e-03 2.626019e-01 5.211603e-02 7.967824e-01 5.713643e-02
Rf1p360e15MbPp 1.110341e-01 2.989220e-02 4.275061e-01 1.020572e-01 8.438454e-01 4.103172e-02
Gb1p360e15MbPp 3.857972e-01 2.740094e-02 1.120428e+00 1.398074e-01 4.854425e-01 1.377126e-01
