T nFsrh nFBsrh dnsrh nF nFB dn
290 1.193107045E+00 1.193260506E+0 -1.534610000E-04 1.193107045E+00 1.193260506E+0 -1.534610000E-04
295 1.191269329E+00 1.197029795E+0 -5.760466000E-03 1.191269329E+00 1.197029795E+0 -5.760466000E-03
300 1.199771843E+00 1.200807129E+0 -1.035286000E-03 1.199771843E+00 1.200807129E+0 -1.035286000E-03
305 1.208099399E+00 1.204591965E+0 3.507434000E-03 1.208099399E+00 1.204591965E+0 3.507434000E-03
310 1.206321498E+00 1.208383163E+0 -2.061665000E-03 1.206321498E+00 1.208383163E+0 -2.061665000E-03
315 1.208766178E+00 1.212178190E+0 -3.412012000E-03 1.208766178E+00 1.212178190E+0 -3.412012000E-03
320 1.211902797E+00 1.215971385E+0 -4.068588000E-03 1.211902797E+00 1.215971385E+0 -4.068588000E-03
325 1.218818651E+00 1.219750239E+0 -9.315880000E-04 1.218818651E+00 1.219750239E+0 -9.315880000E-04
330 1.225061692E+00 1.223487648E+0 1.574044000E-03 1.225061692E+00 1.223487648E+0 1.574044000E-03
335 1.230391005E+00 1.227126237E+0 3.264768000E-03 1.230391005E+00 1.227126237E+0 3.264768000E-03
340 1.234534190E+00 1.230547547E+0 3.986643000E-03 1.234534190E+00 1.230547547E+0 3.986643000E-03
