T nFsrh nFBsrh dnsrh nF nFB dn
290 1.200510170E+00 1.197124629E+0 3.385541000E-03 1.200510170E+00 1.197124629E+0 3.385541000E-03
295 1.209611822E+00 1.202244523E+0 7.367299000E-03 1.209611822E+00 1.202244523E+0 7.367299000E-03
300 1.207913109E+00 1.207407889E+0 5.052200000E-04 1.207913109E+00 1.207407889E+0 5.052200000E-04
305 1.216783220E+00 1.212614221E+0 4.168999000E-03 1.216783220E+00 1.212614221E+0 4.168999000E-03
310 1.215336774E+00 1.217862830E+0 -2.526056000E-03 1.215336774E+00 1.217862830E+0 -2.526056000E-03
315 1.218392723E+00 1.223152608E+0 -4.759885000E-03 1.218392723E+00 1.223152608E+0 -4.759885000E-03
320 1.226679164E+00 1.228481499E+0 -1.802335000E-03 1.226679164E+00 1.228481499E+0 -1.802335000E-03
325 1.229946191E+00 1.233845363E+0 -3.899172000E-03 1.229946191E+00 1.233845363E+0 -3.899172000E-03
330 1.237208407E+00 1.239235530E+0 -2.027123000E-03 1.237208407E+00 1.239235530E+0 -2.027123000E-03
335 1.243768499E+00 1.244633668E+0 -8.651690000E-04 1.243768499E+00 1.244633668E+0 -8.651690000E-04
340 1.244179320E+00 1.250001105E+0 -5.821785000E-03 1.244179320E+00 1.250001105E+0 -5.821785000E-03
