V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 4.697008e-04 5.357844e-01 -1.200000e+00 2.474023e-01 5.096818e-01 4.309411e-01 1.964125e-01 7.801002e-01 9.450095e-01 5.685995e-01 7.233449e-01 9.219601e-01 1.207091e+00 6.075569e-01 7.556985e-01
-1.100000e+00 4.589763e-01 5.660808e-01 -1.000000e+00 4.601739e-01 5.196783e-01 5.782346e-01 3.032563e-01 7.814731e-01 9.784039e-01 6.045569e-01 6.464985e-01 9.323741e-01 1.205845e+00 5.963836e-01 7.847570e-01
-1.000000e+00 4.048589e-01 6.104142e-01 -8.000000e-01 6.455293e-01 5.255970e-01 6.115001e-01 3.487148e-01 7.308533e-01 9.548460e-01 4.874277e-01 7.634485e-01 9.263581e-01 1.238229e+00 6.357569e-01 7.693751e-01
-9.000000e-01 6.335124e-02 6.088680e-01 -6.000000e-01 3.334816e-01 5.167612e-01 6.041910e-01 2.872253e-01 7.072312e-01 9.920368e-01 6.101727e-01 7.560899e-01 9.181167e-01 1.223108e+00 8.239292e-01 8.876191e-01
-8.000000e-01 1.177708e-01 6.127333e-01 -4.000000e-01 6.050145e-01 4.966493e-01 5.972962e-01 2.550897e-01 7.158051e-01 1.081166e+00 4.853959e-01 7.431272e-01 9.197317e-01 1.229129e+00 7.740219e-01 8.519472e-01
-7.000000e-01 1.152827e+00 6.015569e-01 -2.000000e-01 5.861237e-01 5.244895e-01 5.943755e-01 2.949303e-01 7.021834e-01 8.547657e-01 4.823153e-01 7.879977e-01 9.392675e-01 1.247994e+00 6.516254e-01 8.256104e-01
-6.000000e-01 1.142135e+00 5.991697e-01 0.000000e+00 5.731159e-01 5.173800e-01 6.143498e-01 2.786008e-01 6.199887e-01 6.835906e-01 4.348996e-01 7.754518e-01 9.359391e-01 1.241380e+00 6.625105e-01 4.690802e-01
-5.000000e-01 1.165584e+00 5.935004e-01 2.000000e-01 4.804594e-01 5.462351e-01 5.723574e-01 2.737985e-01 5.754156e-01 5.590729e-01 3.962847e-01 5.812137e-01 9.415335e-01 9.836425e-01 2.070592e-01 2.782631e-01
-4.000000e-01 1.180054e+00 6.155403e-01 4.000000e-01 6.058367e-01 5.294242e-01 6.868880e-01 2.575450e-01 5.221939e-01 1.479040e+00 1.170794e+00 4.373168e-01 7.223366e-01 5.927833e-02 4.203199e-03 4.604677e-01
-3.000000e-01 1.162810e+00 6.113178e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.185287e+00 6.214883e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.185969e+00 6.091689e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.179399e+00 6.031610e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.166358e+00 5.959152e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.123907e+00 5.373005e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 1.093499e+00 5.295025e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
