V d42 V1 d61a d61c d64a d64b
-1.200000e+00 2.315468e+00 -1.200000e+00 6.546579e-01 5.984948e-01 1.293145e+00 1.063416e+00
-1.100000e+00 2.360375e+00 -1.000000e+00 7.733747e-01 6.519266e-01 1.424134e+00 1.111940e+00
-1.000000e+00 2.420456e+00 -8.000000e-01 7.562495e-01 6.711248e-01 1.378211e+00 1.109832e+00
-9.000000e-01 2.423303e+00 -6.000000e-01 7.588357e-01 6.763398e-01 1.382271e+00 1.128155e+00
-8.000000e-01 2.404084e+00 -4.000000e-01 7.227100e-01 7.363401e-01 1.311297e+00 1.193444e+00
-7.000000e-01 2.495168e+00 -2.000000e-01 7.937858e-01 7.346617e-01 1.031683e+00 1.170115e+00
-6.000000e-01 2.498079e+00 0.000000e+00 7.907111e-01 7.442605e-01 1.044960e+00 1.149695e+00
-5.000000e-01 2.573395e+00 2.000000e-01 6.664070e-01 6.727823e-01 1.108090e+00 9.714495e-01
-4.000000e-01 2.593025e+00 4.000000e-01 2.731044e-01 2.519366e-01 3.321138e-01 1.602092e-01
-3.000000e-01 2.622604e+00 NaN NaN NaN NaN NaN
-2.000000e-01 2.613885e+00 NaN NaN NaN NaN NaN
-1.000000e-01 2.617260e+00 NaN NaN NaN NaN NaN
0.000000e+00 2.491440e+00 NaN NaN NaN NaN NaN
1.000000e-01 1.963549e+00 NaN NaN NaN NaN NaN
2.000000e-01 6.963319e-01 NaN NaN NaN NaN NaN
3.000000e-01 3.700000e-08 NaN NaN NaN NaN NaN
