V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 6.674307e-01 -1.200000e+00 7.907402e-01 -1.200000e+00 2.549203e+00 1.321212e+00 1.150205e+00 7.643433e-01 6.343207e-01 7.213212e-01
-2.000000e-01 6.873361e-01 -1.100000e+00 8.909262e-01 -1.000000e+00 2.455730e+00 1.282197e+00 1.157932e+00 8.124387e-01 6.382454e-01 6.837075e-01
0.000000e+00 6.666825e-01 -9.000000e-01 9.967844e-01 -8.000000e-01 2.485491e+00 1.315856e+00 1.135516e+00 8.099959e-01 6.384408e-01 6.957904e-01
1.000000e-01 6.614002e-01 -8.000000e-01 1.027675e+00 -6.000000e-01 2.507345e+00 1.287759e+00 1.255616e+00 8.255400e-01 6.486628e-01 6.561390e-01
2.000000e-01 6.320640e-01 -7.000000e-01 1.031814e+00 -4.000000e-01 2.440863e+00 1.379543e+00 1.280426e+00 8.313412e-01 6.548617e-01 8.147384e-01
NaN NaN -6.000000e-01 1.078254e+00 -2.000000e-01 2.480683e+00 1.464130e+00 1.171934e+00 8.308863e-01 6.746002e-01 7.792845e-01
NaN NaN -5.000000e-01 1.061473e+00 0.000000e+00 2.431015e+00 1.450498e+00 1.087817e+00 8.322094e-01 6.940599e-01 7.827785e-01
NaN NaN -4.000000e-01 1.109451e+00 2.000000e-01 1.401682e+00 1.325301e+00 4.864523e-01 8.160773e-01 5.306295e-01 7.441873e-01
NaN NaN -3.000000e-01 1.110399e+00 4.000000e-01 6.019393e-01 3.064870e-01 4.265351e-01 3.028988e-01 2.648570e-01 5.651981e-01
NaN NaN -2.000000e-01 1.145932e+00 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 1.144052e+00 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 1.138914e+00 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 1.097733e+00 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 1.035912e+00 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 9.192475e-01 NaN NaN NaN NaN NaN NaN NaN
