T Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.000000000E+01 1.235253422E+00 1.208498758E+00 2.675466400E-02 1.228116004E+00 1.201826953E+00 2.628905100E-02 7.137418000E-03 6.671805000E-03
290 1.016672606E+01 1.235301836E+00 1.208547769E+00 2.675406700E-02 1.230066814E+00 1.203668724E+00 2.639809000E-02 5.235022000E-03 4.879045000E-03
290 1.033324570E+01 1.235372552E+00 1.208637674E+00 2.673487800E-02 1.231595930E+00 1.205119515E+00 2.647641500E-02 3.776622000E-03 3.518159000E-03
290 1.049996187E+01 1.235475755E+00 1.208745633E+00 2.673012200E-02 1.232786079E+00 1.206244351E+00 2.654172800E-02 2.689676000E-03 2.501282000E-03
290 1.066670514E+01 1.235626052E+00 1.208918749E+00 2.670730300E-02 1.233727590E+00 1.207149649E+00 2.657794100E-02 1.898462000E-03 1.769100000E-03
290 1.083333839E+01 1.235844239E+00 1.209152751E+00 2.669148800E-02 1.234511150E+00 1.207907779E+00 2.660337100E-02 1.333089000E-03 1.244972000E-03
290 1.100000000E+01 1.236159460E+00 1.209484035E+00 2.667542500E-02 1.235224794E+00 1.208608935E+00 2.661585900E-02 9.346660000E-04 8.751000000E-04
290 1.116672606E+01 1.236611793E+00 1.209952525E+00 2.665926800E-02 1.235955077E+00 1.209335994E+00 2.661908300E-02 6.567160000E-04 6.165310000E-04
290 1.133324570E+01 1.237254771E+00 1.210610657E+00 2.664411400E-02 1.236790576E+00 1.210173762E+00 2.661681400E-02 4.641950000E-04 4.368950000E-04
290 1.149996187E+01 1.238157033E+00 1.211526711E+00 2.663032200E-02 1.237825549E+00 1.211214123E+00 2.661142600E-02 3.314840000E-04 3.125880000E-04
290 1.166670514E+01 1.239401730E+00 1.212788739E+00 2.661299100E-02 1.239161458E+00 1.212561603E+00 2.659985500E-02 2.402720000E-04 2.271360000E-04
290 1.183333839E+01 1.241081547E+00 1.214489633E+00 2.659191400E-02 1.240903931E+00 1.214321200E+00 2.658273100E-02 1.776160000E-04 1.684330000E-04
290 1.200000000E+01 1.243287728E+00 1.216723658E+00 2.656407000E-02 1.243153246E+00 1.216595586E+00 2.655766000E-02 1.344820000E-04 1.280720000E-04
290 1.216672606E+01 1.246092703E+00 1.219575149E+00 2.651755400E-02 1.245988153E+00 1.219474996E+00 2.651315700E-02 1.045500000E-04 1.001530000E-04
290 1.233324570E+01 1.249530002E+00 1.223066000E+00 2.646400200E-02 1.249446564E+00 1.222985538E+00 2.646102600E-02 8.343800000E-05 8.046200000E-05
290 1.249996187E+01 1.253579777E+00 1.227193794E+00 2.638598300E-02 1.253511655E+00 1.227127567E+00 2.638408800E-02 6.812200000E-05 6.622700000E-05
290 1.266670514E+01 1.258170203E+00 1.231857679E+00 2.631252400E-02 1.258113642E+00 1.231802305E+00 2.631133700E-02 5.656100000E-05 5.537400000E-05
290 1.283333839E+01 1.263197888E+00 1.236984739E+00 2.621314900E-02 1.263150447E+00 1.236937964E+00 2.621248300E-02 4.744100000E-05 4.677500000E-05
290 1.300000000E+01 1.268556670E+00 1.242473467E+00 2.608320300E-02 1.268516717E+00 1.242433802E+00 2.608291500E-02 3.995300000E-05 3.966500000E-05
295 1.000000000E+01 1.236389518E+00 1.209908818E+00 2.648070000E-02 1.229789773E+00 1.203513884E+00 2.627588900E-02 6.599745000E-03 6.394934000E-03
295 1.016672606E+01 1.236435889E+00 1.209952250E+00 2.648363900E-02 1.231639147E+00 1.205308029E+00 2.633111800E-02 4.796742000E-03 4.644221000E-03
295 1.033324570E+01 1.236503596E+00 1.210015725E+00 2.648787100E-02 1.233066285E+00 1.206689809E+00 2.637647600E-02 3.437311000E-03 3.325916000E-03
295 1.049996187E+01 1.236602331E+00 1.210155952E+00 2.644637900E-02 1.234166515E+00 1.207774111E+00 2.639240400E-02 2.435816000E-03 2.381841000E-03
295 1.066670514E+01 1.236745925E+00 1.210300089E+00 2.644583600E-02 1.235033309E+00 1.208621594E+00 2.641171500E-02 1.712616000E-03 1.678495000E-03
295 1.083333839E+01 1.236953949E+00 1.210513349E+00 2.644060000E-02 1.235755263E+00 1.209332216E+00 2.642304700E-02 1.198686000E-03 1.181133000E-03
295 1.100000000E+01 1.237253626E+00 1.210801762E+00 2.645186400E-02 1.236415719E+00 1.209975168E+00 2.644055100E-02 8.379070000E-04 8.265940000E-04
295 1.116672606E+01 1.237681938E+00 1.211219664E+00 2.646227400E-02 1.237095037E+00 1.210637905E+00 2.645713200E-02 5.869010000E-04 5.817590000E-04
295 1.133324570E+01 1.238287572E+00 1.211789357E+00 2.649821500E-02 1.237874164E+00 1.211379998E+00 2.649416600E-02 4.134080000E-04 4.093590000E-04
295 1.149996187E+01 1.239131813E+00 1.212590377E+00 2.654143600E-02 1.238837770E+00 1.212299550E+00 2.653822000E-02 2.940430000E-04 2.908270000E-04
295 1.166670514E+01 1.240287336E+00 1.213704928E+00 2.658240800E-02 1.240075159E+00 1.213495170E+00 2.657998900E-02 2.121770000E-04 2.097580000E-04
295 1.183333839E+01 1.241833577E+00 1.215203899E+00 2.662967800E-02 1.241677460E+00 1.215049762E+00 2.662769800E-02 1.561170000E-04 1.541370000E-04
295 1.200000000E+01 1.243847800E+00 1.217196788E+00 2.665101200E-02 1.243730107E+00 1.217080402E+00 2.664970500E-02 1.176930000E-04 1.163860000E-04
295 1.216672606E+01 1.246392065E+00 1.219715728E+00 2.667633700E-02 1.246300839E+00 1.219625473E+00 2.667536600E-02 9.122600000E-05 9.025500000E-05
295 1.233324570E+01 1.249498354E+00 1.222823734E+00 2.667462000E-02 1.249425613E+00 1.222751586E+00 2.667402700E-02 7.274100000E-05 7.214800000E-05
295 1.249996187E+01 1.253157343E+00 1.226499751E+00 2.665759200E-02 1.253097840E+00 1.226440535E+00 2.665730500E-02 5.950300000E-05 5.921600000E-05
295 1.266670514E+01 1.257318261E+00 1.230710874E+00 2.660738700E-02 1.257268619E+00 1.230661253E+00 2.660736600E-02 4.964200000E-05 4.962100000E-05
295 1.283333839E+01 1.261903561E+00 1.235367422E+00 2.653613900E-02 1.261861618E+00 1.235325249E+00 2.653636900E-02 4.194300000E-05 4.217300000E-05
295 1.300000000E+01 1.266831318E+00 1.240409080E+00 2.642223800E-02 1.266795671E+00 1.240373029E+00 2.642264200E-02 3.564700000E-05 3.605100000E-05
300 1.000000000E+01 1.237560268E+00 1.212119011E+00 2.544125700E-02 1.231182641E+00 1.205618121E+00 2.556452000E-02 6.377627000E-03 6.500890000E-03
300 1.016672606E+01 1.237609167E+00 1.212158076E+00 2.545109100E-02 1.233024941E+00 1.207471037E+00 2.555390400E-02 4.584226000E-03 4.687039000E-03
300 1.033324570E+01 1.237680505E+00 1.212215176E+00 2.546532900E-02 1.234423018E+00 1.208876651E+00 2.554636700E-02 3.257487000E-03 3.338525000E-03
300 1.049996187E+01 1.237784344E+00 1.212298535E+00 2.548580900E-02 1.235490819E+00 1.209943614E+00 2.554720500E-02 2.293525000E-03 2.354921000E-03
