N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.018626000E-02 8.843776000E-03 7.694890000E-03 6.823579000E-03
1.600000000E+01 1.896932000E-02 1.986752400E-02 1.900989000E-02 2.040506400E-02
1.700000000E+01 6.186561000E-02 6.064124800E-02 5.958724300E-02 5.979999400E-02
1.549996187E+01 -1.115793910E-01 -1.052315010E-01 -9.725928600E-02 -9.066890000E-02
1.649996187E+01 4.958670200E-02 4.991687200E-02 4.961258500E-02 4.926458800E-02
1.674996808E+01 5.926123500E-02 5.740848600E-02 5.747523700E-02 5.718299600E-02
1.624993176E+01 3.673929300E-02 3.701173100E-02 3.692167300E-02 3.643956400E-02
1.574996808E+01 -1.668272800E-02 -1.443850600E-02 -1.226676500E-02 -9.765424000E-03
1.524993176E+01 -1.242910060E-01 -1.206158720E-01 -1.183483280E-01 -1.168996750E-01
