x N
6.5537299E+4 5.7853821E+11
6.4894084E+4 5.5787341E+11
6.4196038E+4 5.0684443E+11
6.3401238E+4 5.5801861E+11
6.2826510E+4 6.7880230E+11
6.2263232E+4 6.1791948E+11
6.1563570E+4 6.3778284E+11
6.1028727E+4 6.8099520E+11
6.0394758E+4 6.2471827E+11
5.9742096E+4 6.6303897E+11
5.9170262E+4 6.5991466E+11
5.8498017E+4 5.6119225E+11
5.7690058E+4 5.8719420E+11
5.7067509E+4 7.3266370E+11
5.6530071E+4 6.9394523E+11
5.5828436E+4 6.0210727E+11
5.5085625E+4 5.9732341E+11
5.4353475E+4 6.4866055E+11
5.3710092E+4 7.0454361E+11
5.3070879E+4 6.8515529E+11
5.2374545E+4 7.4269766E+11
5.1824843E+4 7.5847799E+11
5.1138131E+4 6.7130138E+11
5.0410411E+4 7.3092985E+11
4.9822689E+4 6.7330793E+11
4.8959530E+4 7.0697233E+11
4.8425114E+4 8.2796838E+11
4.7747174E+4 7.5506555E+11
4.7078963E+4 7.5825489E+11
4.6387180E+4 7.9641365E+11
4.5766150E+4 8.4991343E+11
4.5139282E+4 8.9453602E+11
4.4564810E+4 9.6376729E+11
4.4009453E+4 1.0344113E+12
4.3499175E+4 1.0667207E+12
4.2963126E+4 9.9166665E+11
4.2359049E+4 1.0045119E+12
4.1823352E+4 1.0055176E+12
4.1203741E+4 8.6744727E+11
4.0463388E+4 7.3751643E+11
3.9574312E+4 6.8208268E+11
