N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016602759E+00 1.015152139E+00 1.014098868E+00 1.013291031E+00
1.600000000E+01 1.234125800E+00 1.228684285E+00 1.223588213E+00 1.219302486E+00
1.700000000E+01 1.240626837E+00 1.233387286E+00 1.227062906E+00 1.221788940E+00
1.549996187E+01 1.199856081E+00 1.192172871E+00 1.185303513E+00 1.178596245E+00
1.649996187E+01 1.235564617E+00 1.228876808E+00 1.222698527E+00 1.217269473E+00
1.674996808E+01 1.235707429E+00 1.228503346E+00 1.221929001E+00 1.216152338E+00
1.624993176E+01 1.237041376E+00 1.231051810E+00 1.225574698E+00 1.220628947E+00
1.574996808E+01 1.224146731E+00 1.218775318E+00 1.213925251E+00 1.209469561E+00
1.524993176E+01 1.110225469E+00 1.091986445E+00 1.074934138E+00 1.059089428E+00
