name time T kT_1 I
10RV 10rv.dat 300 38.65 1.568E-006
11RV 11rv.dat 300 38.65 1.413E-006
12RV 12rv.dat 300 38.65 1.340E-006
13RV 13rv.dat 300 38.65 1.673E-006
14RV 14rv.dat 300 38.65 1.470E-006
15RV 15rv.dat 300 38.65 1.413E-006
16RV 16rv.dat 300 38.65 1.505E-006
17RV 17rv.dat 300 38.65 1.758E-006
18RV 18rv.dat 300 38.65 1.488E-006
19RV 19rv.dat 300 38.65 1.437E-006
1RV 1rv.dat 300 38.65 1.560E-006
20RV 20rv.dat 300 38.65 1.450E-006
21RV 21rv.dat 300 38.65 1.434E-006
22RV 22rv.dat 300 38.65 1.559E-006
23RV 23rv.dat 300 38.65 1.515E-006
24RV 24rv.dat 300 38.65 1.331E-006
25RV 25rv.dat 300 38.65 1.443E-006
26RV 26rv.dat 300 38.65 1.420E-006
27RV 27rv.dat 300 38.65 1.437E-006
2RV 2rv.dat 300 38.65 1.565E-006
3RV 3rv.dat 300 38.65 1.501E-006
4RV 4rv.dat 300 38.65 1.479E-006
5RV 5rv.dat 300 38.65 1.611E-006
6RV 6rv.dat 300 38.65 1.558E-006
7RV 7rv.dat 300 38.65 1.510E-006
8RV 8rv.dat 300 38.65 1.513E-006
9RV 9rv.dat 300 38.65 1.510E-006
