fname V Rs Rt Qt nt Rr Qr nr rmsre
d43bm1V2n1 -1.2 1.8100826E+0 1.7480696E+3 1.9645375E-9 1.0000000E+0 6.6398200E+3 4.5670419E-10 9.8360454E-1 9.9719474E-3
d43bm1V1n1 -1.1 1.9124351E+0 1.6694318E+3 2.0100341E-9 1.0000000E+0 6.8295355E+3 4.9472023E-10 9.8079388E-1 9.6443217E-3
d43bm1Vn1 -1 2.0622100E+0 1.6369513E+3 2.0644880E-9 1.0000000E+0 6.9947763E+3 5.1879233E-10 9.7949783E-1 8.4323489E-3
d43bm0V9n1 -0.9 2.0569864E+0 1.5676987E+3 2.1195559E-9 1.0000000E+0 7.1660720E+3 5.4258035E-10 9.7914321E-1 7.3353881E-3
d43bm0V8n1 -0.8 2.0700450E+0 1.5082798E+3 2.1812434E-9 1.0000000E+0 7.2784064E+3 5.5316051E-10 9.8076098E-1 9.0575953E-3
d43bm0V7n1 -0.7 2.0322867E+0 1.4117632E+3 2.2456523E-9 1.0000000E+0 7.5047333E+3 6.2071816E-10 9.7552308E-1 9.1220966E-3
d43bm0V6n1 -0.6 2.0242218E+0 1.3380251E+3 2.3197229E-9 1.0000000E+0 7.7559144E+3 6.5592043E-10 9.7512438E-1 7.5319816E-3
d43bm0V5n1 -0.5 2.0050688E+0 1.2535242E+3 2.4011818E-9 1.0000000E+0 8.0553482E+3 7.1124819E-10 9.7305630E-1 7.4504300E-3
d43bm0V4n1 -0.4 2.0795282E+0 1.1930830E+3 2.4970112E-9 1.0000000E+0 8.3372744E+3 7.5024511E-10 9.7357654E-1 9.6930344E-3
d43bm0V3n1 -0.3 2.0652629E+0 1.1088369E+3 2.6028384E-9 1.0000000E+0 8.6472021E+3 7.9984317E-10 9.7391666E-1 7.8432432E-3
d43bm0V2n1 -0.2 2.0996227E+0 1.0203927E+3 2.7272459E-9 1.0000000E+0 9.0342987E+3 9.1173724E-10 9.7017807E-1 7.0675753E-3
d43bm0V1n1 -0.1 2.0580030E+0 9.2053432E+2 2.8703430E-9 1.0000000E+0 9.3545076E+3 1.0316987E-9 9.6820339E-1 6.5146912E-3
d43b0Vn1 0 2.0377062E+0 8.1222137E+2 3.0427239E-9 1.0000000E+0 8.6371879E+3 1.2499142E-9 9.6371118E-1 6.4392129E-3
d43b0V1n1 0.1 2.0132270E+0 6.8798575E+2 3.2592242E-9 1.0000000E+0 4.8869317E+3 1.5509832E-9 9.6448828E-1 5.9111923E-3
d43b0V2n1 0.2 1.8152045E+0 5.0445179E+2 3.5148871E-9 1.0000000E+0 1.4794478E+3 2.6599985E-9 9.5899539E-1 4.9079597E-3
d43b0V1n1 0.1 2.0166770E+0 6.8887166E+2 3.2594199E-9 1.0000000E+0 4.8832354E+3 1.5443432E-9 9.6480416E-1 6.1604177E-3
