fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 28498 296.92 39.048 2.417759968E-07 4.267517736E+00 8.576979423E+03 7.585064518E-05 3.703763985E+00 2.798510363E+03 0.000000000E+00 3.129320901E-04 4.835911583E-01 2.827417335E-04 3.414372631E-01 4.668519582E-05 2.646929217E-01 1.763774334E-04 1.890162640E-01 
00L2 29294 298.02 38.904 4.366803376E-07 4.425288644E+00 9.259116171E+03 7.731082288E-05 3.563110764E+00 2.582276671E+03 0.000000000E+00 3.115466560E-04 4.823141418E-01 2.830518759E-04 3.435914673E-01 4.690708052E-05 2.627241743E-01 1.785433745E-04 5.818273860E-03 
00L3 29936 299.03 38.773 8.284008638E-07 4.616530748E+00 1.041139339E+04 8.003504818E-05 3.450335422E+00 2.430511605E+03 0.000000000E+00 3.098519720E-04 4.811580208E-01 2.829516826E-04 3.454176782E-01 4.702670727E-05 2.647497796E-01 1.776258797E-04 8.416232697E-03 
00L4 30508 300.03 38.643 7.999378930E-07 4.595875307E+00 1.032030207E+04 8.763886887E-05 3.557614353E+00 2.351631251E+03 0.000000000E+00 3.101062821E-04 4.786110516E-01 2.833904244E-04 3.472587940E-01 4.710002601E-05 2.639318686E-01 1.784533831E-04 1.390612411E-01 
00L5 31072 301.04 38.514 9.601382506E-07 4.696014335E+00 9.879236683E+03 9.183793381E-05 3.438523084E+00 2.210619468E+03 0.000000000E+00 3.107437686E-04 4.772377743E-01 2.833547558E-04 3.499703408E-01 4.732564679E-05 2.636729447E-01 1.794838886E-04 2.543590301E-01 
00L6 31630 302.04 38.386 1.000000000E-15 1.000000000E+01 1.432322565E+03 2.000000000E-05 2.000000000E+01 1.000000000E+02 0.000000000E+00 3.289267055E-04 4.759040802E-01 2.831864824E-04 3.514173672E-01 4.736037887E-05 2.645528388E-01 1.790198344E-04 1.521799802E+01 
00L7 32174 303.03 38.261 6.059658857E-07 4.426353029E+00 9.291420219E+03 9.737916985E-05 3.552945306E+00 2.016893020E+03 0.000000000E+00 3.099357782E-04 4.753591858E-01 2.839338965E-04 3.523854771E-01 4.756167429E-05 2.660622211E-01 1.787511300E-04 1.136103217E-02 
00L8 32706 304.02 38.136 2.741393453E-07 4.167897612E+00 8.520315473E+03 1.176602692E-04 4.155435833E+00 2.057265692E+03 0.000000000E+00 3.120171283E-04 4.732603790E-01 2.839481464E-04 3.555757350E-01 4.778276771E-05 2.660375374E-01 1.796195319E-04 6.665146308E-03 
00L9 33234 305.03 38.01 7.354355073E-08 3.785231019E+00 6.716065053E+03 1.246427600E-04 4.443456079E+00 1.995564208E+03 0.000000000E+00 3.146864294E-04 4.722063171E-01 2.839548439E-04 3.565462532E-01 4.780760101E-05 2.650404376E-01 1.803803951E-04 2.492208002E-02 
0L10 33860 306.04 37.885 1.197097787E-06 4.585105775E+00 1.128517634E+04 1.258152020E-04 3.870354681E+00 1.823000448E+03 0.000000000E+00 3.082873507E-04 4.704587936E-01 2.839578309E-04 3.585389577E-01 4.789738378E-05 2.667096499E-01 1.795843435E-04 3.330068733E-02 
