N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 2.956557000E-03 2.516335000E-03 2.227079000E-03 2.020538000E-03
1.016672606E+01 2.077498000E-03 1.756219000E-03 1.547041000E-03 1.398770000E-03
1.033324570E+01 1.448039000E-03 1.218110000E-03 1.069432000E-03 9.646120000E-04
1.049996187E+01 1.003299000E-03 8.411410000E-04 7.368140000E-04 6.635510000E-04
1.066670514E+01 6.923130000E-04 5.791740000E-04 5.066540000E-04 4.558740000E-04
1.083333839E+01 4.765160000E-04 3.981950000E-04 3.481350000E-04 3.131510000E-04
1.100000000E+01 3.276130000E-04 2.737010000E-04 2.393210000E-04 2.153350000E-04
1.116672606E+01 2.252620000E-04 1.883190000E-04 1.648140000E-04 1.484470000E-04
1.133324570E+01 1.551060000E-04 1.298870000E-04 1.166590000E-04 1.027690000E-04
1.149996187E+01 1.071120000E-04 8.996800000E-05 8.069000000E-05 7.162100000E-05
1.166670514E+01 7.433500000E-05 6.272600000E-05 5.649400000E-05 5.040800000E-05
1.183333839E+01 5.196300000E-05 4.415600000E-05 3.982200000E-05 3.597100000E-05
1.200000000E+01 3.671500000E-05 3.178600000E-05 2.851100000E-05 2.616200000E-05
1.216672606E+01 2.632100000E-05 2.309200000E-05 2.097200000E-05 1.948400000E-05
1.233324570E+01 1.923700000E-05 1.716400000E-05 1.575500000E-05 1.492300000E-05
1.249996187E+01 1.440600000E-05 1.311200000E-05 1.226000000E-05 1.178700000E-05
1.266670514E+01 1.109700000E-05 1.032400000E-05 9.838000000E-06 9.596000000E-06
1.283333839E+01 8.803000000E-06 8.375000000E-06 8.127000000E-06 8.020000000E-06
1.300000000E+01 7.192000000E-06 6.977000000E-06 6.873000000E-06 6.847000000E-06
