N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 1.778E+16 335 3.800E-4 3.775534E+1 1.601790E+1 5.340690E-1 7.943820E+1
1.468000E+10 1.778E+16 335 3.800E-4 3.770784E+1 1.598760E+1 5.338600E-1 7.941900E+1
2.154000E+10 1.778E+16 335 3.800E-4 3.763966E+1 1.594420E+1 5.335560E-1 7.939220E+1
3.162000E+10 1.778E+16 335 3.800E-4 3.754272E+1 1.588270E+1 5.331160E-1 7.935550E+1
4.642000E+10 1.778E+16 335 3.800E-4 3.740683E+1 1.579670E+1 5.324850E-1 7.930660E+1
6.813000E+10 1.778E+16 335 3.800E-4 3.721998E+1 1.567910E+1 5.315910E-1 7.924420E+1
1.000000E+11 1.778E+16 335 3.800E-4 3.696977E+1 1.552250E+1 5.303470E-1 7.916870E+1
1.468000E+11 1.778E+16 335 3.800E-4 3.664601E+1 1.532100E+1 5.286180E-1 7.908970E+1
2.154000E+11 1.778E+16 335 3.800E-4 3.624441E+1 1.506730E+1 5.263830E-1 7.897550E+1
3.162000E+11 1.778E+16 335 3.800E-4 3.576963E+1 1.477840E+1 5.236720E-1 7.889560E+1
4.642000E+11 1.778E+16 335 3.800E-4 3.523487E+1 1.445650E+1 5.205720E-1 7.881520E+1
6.813000E+11 1.778E+16 335 3.800E-4 3.465692E+1 1.410480E+1 5.171090E-1 7.870350E+1
1.000000E+12 1.778E+16 335 3.800E-4 3.404900E+1 1.374310E+1 5.134530E-1 7.861010E+1
1.468000E+12 1.778E+16 335 3.800E-4 3.341646E+1 1.336890E+1 5.095920E-1 7.850770E+1
2.154000E+12 1.778E+16 335 3.800E-4 3.275765E+1 1.297440E+1 5.054010E-1 7.836760E+1
3.162000E+12 1.778E+16 335 3.800E-4 3.206785E+1 1.257080E+1 5.009900E-1 7.824640E+1
4.642000E+12 1.778E+16 335 3.800E-4 3.134258E+1 1.215080E+1 4.962210E-1 7.812590E+1
6.813000E+12 1.778E+16 335 3.800E-4 3.057895E+1 1.170900E+1 4.912310E-1 7.794930E+1
1.000000E+13 1.778E+16 335 3.800E-4 2.977547E+1 1.125770E+1 4.859170E-1 7.780870E+1
1.468000E+13 1.778E+16 335 3.800E-4 2.893179E+1 1.078670E+1 4.804320E-1 7.760320E+1
2.154000E+13 1.778E+16 335 3.800E-4 2.804850E+1 1.030880E+1 4.746380E-1 7.743490E+1
3.162000E+13 1.778E+16 335 3.800E-4 2.712718E+1 9.815500E+0 4.686950E-1 7.719980E+1
4.642000E+13 1.778E+16 335 3.800E-4 2.617044E+1 9.314200E+0 4.625230E-1 7.694900E+1
6.813000E+13 1.778E+16 335 3.800E-4 2.518192E+1 8.812200E+0 4.561460E-1 7.671700E+1
1.000000E+14 1.778E+16 335 3.800E-4 2.416634E+1 8.302200E+0 4.496370E-1 7.640500E+1
