fname V Rs Rt Qt nt Rr Qr nr rmsre
d41m1V2n1 -1.2 2.4255834E+0 2.2151173E+3 2.3167035E-9 1.0000000E+0 8.3677356E+3 4.7075438E-10 9.8992107E-1 1.3692837E-2
d41m1V1n1 -1.1 2.7329024E+0 2.0552966E+3 2.3624518E-9 1.0000000E+0 9.6217622E+3 4.7886809E-10 9.8992000E-1 1.9177322E-2
d41m0V9n1 -0.9 3.0576208E+0 1.9082247E+3 2.4818848E-9 1.0000000E+0 1.2361244E+4 4.8615276E-10 9.9183725E-1 1.9959170E-2
d41m0V8n1 -0.8 3.1523788E+0 1.8392458E+3 2.5514435E-9 1.0000000E+0 1.4183445E+4 5.3217043E-10 9.8722176E-1 1.9640959E-2
d41m0V7n1 -0.7 3.1650743E+0 1.7355110E+3 2.6252053E-9 1.0000000E+0 1.6387712E+4 5.6700159E-10 9.8529014E-1 1.7874917E-2
d41m0V6n1 -0.6 3.3075271E+0 1.7188599E+3 2.7146348E-9 1.0000000E+0 1.8971900E+4 5.3007781E-10 9.9442375E-1 2.5806974E-2
d41m0V5n1 -0.5 3.2560514E+0 1.5685051E+3 2.8046284E-9 1.0000000E+0 2.2980347E+4 6.3274130E-10 9.8531913E-1 2.1086320E-2
d41m0V4n1 -0.4 3.4032234E+0 1.5358281E+3 2.9191444E-9 1.0000000E+0 2.7819929E+4 6.4416502E-10 9.8836688E-1 2.2568061E-2
d41m0V3n1 -0.3 3.4061320E+0 1.4132387E+3 3.0431170E-9 1.0000000E+0 3.4449278E+4 7.2673371E-10 9.8527603E-1 2.1708798E-2
d41m0V2n1 -0.2 3.5151291E+0 1.3406740E+3 3.1931139E-9 1.0000000E+0 4.2906129E+4 7.8252120E-10 9.8619089E-1 2.4167167E-2
d41m0V1n1 -0.1 3.5093634E+0 1.2027154E+3 3.3602436E-9 1.0000000E+0 5.2363604E+4 9.0722640E-10 9.8307994E-1 2.2413917E-2
d410Vn1 0 3.4936002E+0 1.0614365E+3 3.5609914E-9 1.0000000E+0 4.8012227E+4 1.0687222E-9 9.8101723E-1 2.1889024E-2
d410V1n1 0.1 3.3672787E+0 8.7159560E+2 3.7962934E-9 1.0000000E+0 2.1699143E+4 1.3817623E-9 9.7665887E-1 1.8824400E-2
d410V2n1 0.2 3.1776445E+0 6.5612507E+2 4.0969402E-9 1.0000000E+0 6.8504879E+3 2.2881894E-9 9.6106574E-1 1.4428175E-2
d410V3n1 0.3 2.8197775E+0 4.4443586E+2 4.6127622E-9 9.9858114E-1 2.1253372E+3 4.8947922E-9 9.3818273E-1 9.8250600E-3
