N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+15 335 1.500E-4 1.002865911E+00 1.003470189E+00
1.468000E+10 1.778E+15 335 1.500E-4 1.003024723E+00 1.003469957E+00
2.154000E+10 1.778E+15 335 1.500E-4 1.003148404E+00 1.003469623E+00
3.162000E+10 1.778E+15 335 1.500E-4 1.003241084E+00 1.003469148E+00
4.642000E+10 1.778E+15 335 1.500E-4 1.003308448E+00 1.003468484E+00
6.813000E+10 1.778E+15 335 1.500E-4 1.003356206E+00 1.003467581E+00
1.000000E+11 1.778E+15 335 1.500E-4 1.003389324E+00 1.003466403E+00
1.468000E+11 1.778E+15 335 1.500E-4 1.003411822E+00 1.003464985E+00
2.154000E+11 1.778E+15 335 1.500E-4 1.003426939E+00 1.003463548E+00
3.162000E+11 1.778E+15 335 1.500E-4 1.003437534E+00 1.003462746E+00
4.642000E+11 1.778E+15 335 1.500E-4 1.003446753E+00 1.003464152E+00
6.813000E+11 1.778E+15 335 1.500E-4 1.003459067E+00 1.003471130E+00
1.000000E+12 1.778E+15 335 1.500E-4 1.003481781E+00 1.003490214E+00
1.468000E+12 1.778E+15 335 1.500E-4 1.003526970E+00 1.003532947E+00
2.154000E+12 1.778E+15 335 1.500E-4 1.003613217E+00 1.003617548E+00
3.162000E+12 1.778E+15 335 1.500E-4 1.003766163E+00 1.003769403E+00
4.642000E+12 1.778E+15 335 1.500E-4 1.004016181E+00 1.004018709E+00
6.813000E+12 1.778E+15 335 1.500E-4 1.004393672E+00 1.004395743E+00
1.000000E+13 1.778E+15 335 1.500E-4 1.004924426E+00 1.004926208E+00
