fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
UDT0 9:32 302.3 38.35 2.100E+000 2.314E-006 1.995E-010 2.462 1.021 6.140E+004 
UDT1 9:35 302.4 38.34 2.111E+000 2.396E-006 1.749E-010 2.46 1.014 6.140E+004 
UDT2 9:40 302.5 38.33 2.122E+000 2.429E-006 1.774E-010 2.466 1.013 6.140E+004 
UDT3 9:43 302.5 38.33 2.122E+000 2.460E-006 2.471E-010 2.476 1.032 6.140E+004 
UDT4 9:46 302.6 38.32 2.133E+000 2.480E-006 2.251E-010 2.481 1.025 6.140E+004 
UDT5 9:50 302.7 38.3 2.144E+000 2.399E-006 1.550E-010 2.455 1.003 6.140E+004 
UDT6 9:53 302.7 38.3 2.144E+000 2.484E-006 1.914E-010 2.472 1.015 6.140E+004 
UDT7 9:56 302.7 38.3 2.144E+000 2.492E-006 1.752E-010 2.47 1.009 6.140E+004 
UDT8 10:1 302.9 38.28 2.166E+000 2.488E-006 2.066E-010 2.477 1.017 6.140E+004 
UDT9 10:4 302.9 38.28 2.166E+000 2.457E-006 1.497E-010 2.455 0.9988 6.140E+004 
