d Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.000000000E+01 1.241316746E+00 1.217368724E+00 2.394802200E-02 1.234147551E+00 1.209717228E+00 2.443032300E-02 7.169195000E-03 7.651496000E-03
150 1.016672606E+01 1.241355576E+00 1.217393970E+00 2.396160600E-02 1.236205499E+00 1.211858062E+00 2.434743700E-02 5.150077000E-03 5.535908000E-03
150 1.033324570E+01 1.241412269E+00 1.217430918E+00 2.398135100E-02 1.237753601E+00 1.213475343E+00 2.427825800E-02 3.658668000E-03 3.955575000E-03
150 1.049996187E+01 1.241494889E+00 1.217484957E+00 2.400993200E-02 1.238919994E+00 1.214688534E+00 2.423146000E-02 2.574895000E-03 2.796423000E-03
150 1.066670514E+01 1.241614924E+00 1.217563877E+00 2.405104700E-02 1.239815669E+00 1.215603164E+00 2.421250500E-02 1.799255000E-03 1.960713000E-03
150 1.083333839E+01 1.241788527E+00 1.217678900E+00 2.410962700E-02 1.240537275E+00 1.216311931E+00 2.422534400E-02 1.251252000E-03 1.366969000E-03
150 1.100000000E+01 1.242037986E+00 1.217846009E+00 2.419197700E-02 1.241169980E+00 1.216895991E+00 2.427398900E-02 8.680060000E-04 9.500180000E-04
150 1.116672606E+01 1.242393229E+00 1.218087693E+00 2.430553600E-02 1.241791174E+00 1.217427883E+00 2.436329100E-02 6.020550000E-04 6.598100000E-04
150 1.133324570E+01 1.242892915E+00 1.218434944E+00 2.445797100E-02 1.242474340E+00 1.217975815E+00 2.449852500E-02 4.185750000E-04 4.591290000E-04
150 1.149996187E+01 1.243584377E+00 1.218929342E+00 2.465503500E-02 1.243291825E+00 1.218608319E+00 2.468350600E-02 2.925520000E-04 3.210230000E-04
150 1.166670514E+01 1.244521551E+00 1.219624443E+00 2.489710800E-02 1.244315273E+00 1.219398120E+00 2.491715300E-02 2.062780000E-04 2.263230000E-04
150 1.183333839E+01 1.245760499E+00 1.220585419E+00 2.517508000E-02 1.245613111E+00 1.220423841E+00 2.518927000E-02 1.473880000E-04 1.615780000E-04
150 1.200000000E+01 1.247353352E+00 1.221885514E+00 2.546783800E-02 1.247246077E+00 1.221767188E+00 2.547888900E-02 1.072750000E-04 1.183260000E-04
150 1.216672606E+01 1.249342705E+00 1.223592315E+00 2.575039000E-02 1.249262735E+00 1.223504652E+00 2.575808300E-02 7.997000000E-05 8.766300000E-05
150 1.233324570E+01 1.251757766E+00 1.225776466E+00 2.598130000E-02 1.251696424E+00 1.225709443E+00 2.598698100E-02 6.134200000E-05 6.702300000E-05
150 1.249996187E+01 1.254610945E+00 1.228461897E+00 2.614904800E-02 1.254562422E+00 1.228409186E+00 2.615323600E-02 4.852300000E-05 5.271100000E-05
150 1.266670514E+01 1.257893621E+00 1.231661732E+00 2.623188900E-02 1.257854108E+00 1.231618865E+00 2.623524300E-02 3.951300000E-05 4.286700000E-05
150 1.283333839E+01 1.261574593E+00 1.235336623E+00 2.623797000E-02 1.261541629E+00 1.235300865E+00 2.624076400E-02 3.296400000E-05 3.575800000E-05
150 1.300000000E+01 1.265606645E+00 1.239431733E+00 2.617491200E-02 1.265578680E+00 1.239401354E+00 2.617732600E-02 2.796500000E-05 3.037900000E-05
180 1.000000000E+01 1.238046468E+00 1.214502970E+00 2.354349800E-02 1.231586469E+00 1.207641215E+00 2.394525400E-02 6.459999000E-03 6.861755000E-03
