Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+10 1.007929669E+00 1.028234177E+0 -2.030450800E-02 1.007929669E+00 1.028234177E+0 -2.030450800E-02
1.468000015E+10 1.007955384E+00 1.028859700E+0 -2.090431600E-02 1.007955384E+00 1.028859700E+0 -2.090431600E-02
2.154000005E+10 1.007862082E+00 1.029487788E+0 -2.162570600E-02 1.007862082E+00 1.029487788E+0 -2.162570600E-02
3.162000032E+10 1.007890575E+00 1.030119923E+0 -2.222934800E-02 1.007890575E+00 1.030119923E+0 -2.222934800E-02
4.642000041E+10 1.007935876E+00 1.030755435E+0 -2.281955900E-02 1.007935876E+00 1.030755435E+0 -2.281955900E-02
6.813000017E+10 1.007993220E+00 1.031393764E+0 -2.340054400E-02 1.007993220E+00 1.031393764E+0 -2.340054400E-02
1.000000000E+11 1.008175815E+00 1.032035404E+0 -2.385958900E-02 1.008175815E+00 1.032035404E+0 -2.385958900E-02
1.468000015E+11 1.008348817E+00 1.032680463E+0 -2.433164600E-02 1.008348817E+00 1.032680463E+0 -2.433164600E-02
2.154000005E+11 1.008171395E+00 1.033327858E+0 -2.515646300E-02 1.008171395E+00 1.033327858E+0 -2.515646300E-02
3.162000032E+11 1.009179361E+00 1.033979124E+0 -2.479976300E-02 1.009179361E+00 1.033979124E+0 -2.479976300E-02
4.642000041E+11 1.008808270E+00 1.034633575E+0 -2.582530500E-02 1.008808270E+00 1.034633575E+0 -2.582530500E-02
6.813000017E+11 1.009184244E+00 1.035290640E+0 -2.610639600E-02 1.009184244E+00 1.035290640E+0 -2.610639600E-02
1.000000000E+12 1.019116917E+00 1.035950833E+0 -1.683391600E-02 1.019116917E+00 1.035950833E+0 -1.683391600E-02
1.468000015E+12 1.040722711E+00 1.036614273E+0 4.108438000E-03 1.040722711E+00 1.036614273E+0 4.108438000E-03
2.154000005E+12 1.055697025E+00 1.037279850E+0 1.841717500E-02 1.055697025E+00 1.037279850E+0 1.841717500E-02
3.162000032E+12 1.067375215E+00 1.037949146E+0 2.942606900E-02 1.067375215E+00 1.037949146E+0 2.942606900E-02
4.642000041E+12 1.075180183E+00 1.038621461E+0 3.655872200E-02 1.075180183E+00 1.038621461E+0 3.655872200E-02
6.813000017E+12 1.081230800E+00 1.039296215E+0 4.193458500E-02 1.081230800E+00 1.039296215E+0 4.193458500E-02
1.000000000E+13 1.084522753E+00 1.039973940E+0 4.454881300E-02 1.084522753E+00 1.039973940E+0 4.454881300E-02
