N x
1.6464990E+0 1.1088411E+21
1.6331524E+0 1.1192581E+21
1.6199472E+0 1.1327798E+21
1.6067021E+0 1.1475869E+21
1.5936247E+0 1.1796385E+21
1.5808861E+0 1.1777155E+21
1.5675505E+0 1.1686730E+21
1.5543931E+0 1.1719392E+21
1.5409033E+0 1.1626174E+21
1.5272990E+0 1.1699777E+21
1.5137413E+0 1.1947479E+21
1.5004640E+0 1.1843569E+21
1.4864218E+0 1.1568839E+21
1.4722373E+0 1.1690313E+21
1.4582223E+0 1.1795150E+21
1.4440164E+0 1.1626177E+21
1.4293064E+0 1.1542275E+21
1.4145956E+0 1.1711975E+21
1.4000117E+0 1.1582885E+21
1.3846563E+0 1.1583805E+21
1.3697561E+0 1.1637995E+21
1.3542017E+0 1.1454692E+21
1.3384641E+0 1.1546141E+21
1.3227955E+0 1.1450489E+21
1.3064109E+0 1.0838575E+21
1.2884972E+0 1.1018904E+21
1.2722470E+0 1.1429118E+21
1.2551055E+0 1.1241048E+21
1.2378433E+0 1.1354444E+21
1.2205721E+0 1.1358862E+21
1.2028282E+0 1.1182487E+21
1.1844778E+0 1.1118765E+21
1.1659715E+0 1.1197952E+21
1.1473008E+0 1.1056471E+21
1.1276931E+0 1.1021960E+21
1.1082537E+0 1.0972995E+21
1.0877619E+0 1.0826586E+21
1.0670353E+0 1.0863998E+21
1.0458837E+0 1.0801445E+21
1.0240574E+0 1.0806990E+21
1.0020220E+0 1.0871593E+21
