N x
1.4579656E+0 1.2986993E+21
1.4450919E+0 1.3134703E+21
1.4323958E+0 1.3207839E+21
1.4194343E+0 1.3219997E+21
1.4065307E+0 1.3375093E+21
1.3936341E+0 1.3350418E+21
1.3804407E+0 1.3401469E+21
1.3673993E+0 1.3193860E+21
1.3535294E+0 1.3179610E+21
1.3401965E+0 1.3381809E+21
1.3264617E+0 1.3220788E+21
1.3125174E+0 1.3263717E+21
1.2985813E+0 1.3270089E+21
1.2843480E+0 1.3200673E+21
1.2699514E+0 1.3363096E+21
1.2557495E+0 1.3315801E+21
1.2409173E+0 1.3168775E+21
1.2260473E+0 1.3325525E+21
1.2112093E+0 1.3221124E+21
1.1957295E+0 1.3251673E+21
1.1805821E+0 1.3308718E+21
1.1648301E+0 1.3187533E+21
1.1489840E+0 1.3297863E+21
1.1330622E+0 1.3248186E+21
1.1166428E+0 1.3131053E+21
1.0999561E+0 1.3331562E+21
1.0835481E+0 1.3225111E+21
1.0660687E+0 1.3051036E+21
1.0486642E+0 1.3280275E+21
1.0312161E+0 1.3233030E+21
1.0130842E+0 1.2966825E+21
9.9425533E-1 1.2937206E+21
9.7534882E-1 1.3234787E+21
9.5665901E-1 1.3088823E+21
9.3655762E-1 1.3039394E+21
9.1692431E-1 1.3003942E+21
8.9581858E-1 1.2859027E+21
8.7479123E-1 1.3018224E+21
8.5318438E-1 1.3024148E+21
8.3109943E-1 1.3170877E+21
8.0883898E-1 1.3295631E+21
