N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+15 335 2.100E-4 1.092273415E+00 1.094285957E+00
1.468000E+10 1.778E+15 335 2.100E-4 1.093094114E+00 1.094476121E+00
2.154000E+10 1.778E+15 335 2.100E-4 1.093813501E+00 1.094760832E+00
3.162000E+10 1.778E+15 335 2.100E-4 1.094708511E+00 1.095388058E+00
4.642000E+10 1.778E+15 335 2.100E-4 1.095132599E+00 1.095563287E+00
6.813000E+10 1.778E+15 335 2.100E-4 1.095357217E+00 1.095650579E+00
1.000000E+11 1.778E+15 335 2.100E-4 1.095576384E+00 1.095776082E+00
1.468000E+11 1.778E+15 335 2.100E-4 1.095817690E+00 1.095953484E+00
2.154000E+11 1.778E+15 335 2.100E-4 1.096107820E+00 1.096200114E+00
3.162000E+11 1.778E+15 335 2.100E-4 1.096473252E+00 1.096535562E+00
4.642000E+11 1.778E+15 335 2.100E-4 1.102495933E+00 1.102539901E+00
6.813000E+11 1.778E+15 335 2.100E-4 1.111916245E+00 1.111950504E+00
1.000000E+12 1.778E+15 335 2.100E-4 1.120051758E+00 1.120078679E+00
1.468000E+12 1.778E+15 335 2.100E-4 1.125296263E+00 1.125313844E+00
2.154000E+12 1.778E+15 335 2.100E-4 1.130313219E+00 1.130331135E+00
3.162000E+12 1.778E+15 335 2.100E-4 1.141488377E+00 1.141505683E+00
4.642000E+12 1.778E+15 335 2.100E-4 1.150212888E+00 1.150220182E+00
6.813000E+12 1.778E+15 335 2.100E-4 1.151025593E+00 1.151030702E+00
1.000000E+13 1.778E+15 335 2.100E-4 1.153533482E+00 1.153546853E+00
