fdCdf f
5.2775400E+2 7.1177894E-11
5.8783300E+2 7.4054247E-11
6.5475100E+2 8.1214446E-11
7.2928800E+2 8.7845557E-11
8.1230900E+2 8.8716353E-11
9.0478100E+2 8.1651037E-11
1.0077810E+3 6.8470239E-11
1.1225050E+3 5.3295834E-11
1.2502900E+3 4.0032164E-11
1.3926220E+3 3.0793454E-11
1.5511570E+3 2.5797760E-11
1.7277390E+3 2.4120047E-11
1.9244230E+3 2.4417708E-11
2.1434970E+3 2.5288868E-11
2.3875110E+3 2.5504368E-11
2.6593020E+3 2.4344626E-11
2.9620350E+3 2.1866973E-11
3.2992300E+3 1.8800276E-11
3.6748100E+3 1.6092565E-11
4.0931470E+3 1.4448346E-11
4.5591070E+3 1.4106575E-11
5.0781110E+3 1.4846210E-11
5.6561970E+3 1.6112559E-11
6.3000930E+3 1.7233374E-11
7.0172890E+3 1.7704761E-11
7.8161300E+3 1.7422818E-11
8.7059100E+3 1.6700131E-11
9.6969820E+3 1.6045402E-11
1.0800876E+4 1.5873127E-11
1.2030437E+4 1.6350979E-11
1.3399969E+4 1.7454125E-11
1.4925408E+4 1.9124730E-11
1.6624501E+4 2.1380922E-11
1.8517016E+4 2.4298127E-11
2.0624974E+4 2.7911356E-11
2.2972900E+4 3.2157175E-11
2.5588111E+4 3.6928189E-11
2.8501035E+4 4.2187390E-11
3.1745563E+4 4.8021165E-11
3.5359445E+4 5.4580288E-11
3.9384728E+4 6.1974221E-11
4.3868244E+4 7.0206637E-11
4.8862159E+4 7.9172637E-11
5.4424577E+4 8.8685388E-11
6.0620214E+4 9.8506968E-11
6.7521156E+4 1.0838090E-10
7.5207695E+4 1.1806386E-10
8.3769261E+4 1.2734483E-10
9.3305466E+4 1.3604333E-10
1.0392726E+5 1.4399075E-10
1.1575824E+5 1.5101150E-10
1.2893603E+5 1.5692303E-10
1.4361398E+5 1.6156528E-10
1.5996284E+5 1.6484698E-10
1.7817285E+5 1.6678100E-10
1.9845586E+5 1.6748797E-10
2.2104787E+5 1.6716428E-10
2.4621173E+5 1.6603346E-10
2.7424021E+5 1.6430387E-10
3.0545943E+5 1.6214758E-10
3.4023262E+5 1.5969405E-10
3.7896435E+5 1.5702021E-10
4.2210526E+5 1.5411502E-10
4.7015728E+5 1.5079038E-10
5.2367949E+5 1.4651105E-10
5.8329463E+5 1.4016676E-10
6.4969628E+5 1.2993494E-10
7.2365703E+5 1.1351147E-10
8.0603739E+5 8.8926984E-11
8.9779585E+5 5.5775488E-11
1.0000000E+6 3.6714193E-11
