fdCdf f
5.2775400E+2 9.5861332E-10
5.8783300E+2 8.3463452E-10
6.5475100E+2 7.1231545E-10
7.2928800E+2 6.0168615E-10
8.1230900E+2 5.0833234E-10
9.0478100E+2 4.3404107E-10
1.0077810E+3 3.7777738E-10
1.1225050E+3 3.3613426E-10
1.2502900E+3 3.0432146E-10
1.3926220E+3 2.7793513E-10
1.5511570E+3 2.5439126E-10
1.7277390E+3 2.3315161E-10
1.9244230E+3 2.1496802E-10
2.1434970E+3 2.0101741E-10
2.3875110E+3 1.9240698E-10
2.6593020E+3 1.8997802E-10
2.9620350E+3 1.9422173E-10
3.2992300E+3 2.0526003E-10
3.6748100E+3 2.2286519E-10
4.0931470E+3 2.4647222E-10
4.5591070E+3 2.7518355E-10
5.0781110E+3 3.0788004E-10
5.6561970E+3 3.4346363E-10
6.3000930E+3 3.8107379E-10
7.0172890E+3 4.2010109E-10
7.8161300E+3 4.5998548E-10
8.7059100E+3 4.9994305E-10
9.6969820E+3 5.3879686E-10
1.0800876E+4 5.7502079E-10
1.2030437E+4 6.0694721E-10
1.3399969E+4 6.3297026E-10
1.4925408E+4 6.5166532E-10
1.6624501E+4 6.6194646E-10
1.8517016E+4 6.6335709E-10
2.0624974E+4 6.5630854E-10
2.2972900E+4 6.4194857E-10
2.5588111E+4 6.2168013E-10
2.8501035E+4 5.9674030E-10
3.1745563E+4 5.6815286E-10
3.5359445E+4 5.3693254E-10
3.9384728E+4 5.0419590E-10
4.3868244E+4 4.7102761E-10
4.8862159E+4 4.3825491E-10
5.4424577E+4 4.0636260E-10
6.0620214E+4 3.7562817E-10
6.7521156E+4 3.4635164E-10
7.5207695E+4 3.1896658E-10
8.3769261E+4 2.9393092E-10
9.3305466E+4 2.7151570E-10
1.0392726E+5 2.5169973E-10
1.1575824E+5 2.3424259E-10
1.2893603E+5 2.1882303E-10
1.4361398E+5 2.0512420E-10
1.5996284E+5 1.9286675E-10
1.7817285E+5 1.8183994E-10
1.9845586E+5 1.7192827E-10
2.2104787E+5 1.6308930E-10
2.4621173E+5 1.5528626E-10
2.7424021E+5 1.4842019E-10
3.0545943E+5 1.4230114E-10
3.4023262E+5 1.3666729E-10
3.7896435E+5 1.3124101E-10
4.2210526E+5 1.2578594E-10
4.7015728E+5 1.2010039E-10
5.2367949E+5 1.1389222E-10
5.8329463E+5 1.0655284E-10
6.4969628E+5 9.6962852E-11
7.2365703E+5 8.3564141E-11
8.0603739E+5 6.4897024E-11
8.9779585E+5 4.0508704E-11
1.0000000E+6 2.6607665E-11
