fdCdf f
5.2775400E+2 4.1881836E-11
5.8783300E+2 3.9296147E-11
6.5475100E+2 3.4754835E-11
7.2928800E+2 2.7546449E-11
8.1230900E+2 1.9068348E-11
9.0478100E+2 1.1828449E-11
1.0077810E+3 7.7713905E-12
1.1225050E+3 7.4015803E-12
1.2502900E+3 9.9371170E-12
1.3926220E+3 1.3908232E-11
1.5511570E+3 1.7781563E-11
1.7277390E+3 2.0493568E-11
1.9244230E+3 2.1736402E-11
2.1434970E+3 2.1876592E-11
2.3875110E+3 2.1664046E-11
2.6593020E+3 2.1970140E-11
2.9620350E+3 2.3573376E-11
3.2992300E+3 2.6932371E-11
3.6748100E+3 3.2063724E-11
4.0931470E+3 3.8670877E-11
4.5591070E+3 4.6424595E-11
5.0781110E+3 5.5161949E-11
5.6561970E+3 6.4907787E-11
6.3000930E+3 7.5782277E-11
7.0172890E+3 8.7873172E-11
7.8161300E+3 1.0112703E-10
8.7059100E+3 1.1531748E-10
9.6969820E+3 1.3011565E-10
1.0800876E+4 1.4520817E-10
1.2030437E+4 1.6036494E-10
1.3399969E+4 1.7540055E-10
1.4925408E+4 1.9005940E-10
1.6624501E+4 2.0391855E-10
1.8517016E+4 2.1640023E-10
2.0624974E+4 2.2690934E-10
2.2972900E+4 2.3500111E-10
2.5588111E+4 2.4046127E-10
2.8501035E+4 2.4327430E-10
3.1745563E+4 2.4354943E-10
3.5359445E+4 2.4146526E-10
3.9384728E+4 2.3723720E-10
4.3868244E+4 2.3110962E-10
4.8862159E+4 2.2338968E-10
5.4424577E+4 2.1449110E-10
6.0620214E+4 2.0491412E-10
6.7521156E+4 1.9514540E-10
7.5207695E+4 1.8554484E-10
8.3769261E+4 1.7628338E-10
9.3305466E+4 1.6734551E-10
1.0392726E+5 1.5859612E-10
1.1575824E+5 1.4990468E-10
1.2893603E+5 1.4126669E-10
1.4361398E+5 1.3284012E-10
1.5996284E+5 1.2488168E-10
1.7817285E+5 1.1764602E-10
1.9845586E+5 1.1130620E-10
2.2104787E+5 1.0589738E-10
2.4621173E+5 1.0128938E-10
2.7424021E+5 9.7222569E-11
3.0545943E+5 9.3415695E-11
3.4023262E+5 8.9681723E-11
3.7896435E+5 8.5970204E-11
4.2210526E+5 8.2315035E-11
4.7015728E+5 7.8718392E-11
5.2367949E+5 7.5001146E-11
5.8329463E+5 7.0651155E-11
6.4969628E+5 6.4750969E-11
7.2365703E+5 5.6116752E-11
8.0603739E+5 4.3728336E-11
8.9779585E+5 2.7336321E-11
1.0000000E+6 1.7963880E-11
