fdCdf f
5.2775400E+2 2.1504547E-10
5.8783300E+2 2.1540792E-10
6.5475100E+2 2.1675414E-10
7.2928800E+2 2.1842644E-10
8.1230900E+2 2.2136530E-10
9.0478100E+2 2.2838441E-10
1.0077810E+3 2.4296966E-10
1.1225050E+3 2.6725298E-10
1.2502900E+3 3.0067234E-10
1.3926220E+3 3.4037805E-10
1.5511570E+3 3.8298471E-10
1.7277390E+3 4.2613862E-10
1.9244230E+3 4.6868524E-10
2.1434970E+3 5.0972031E-10
2.3875110E+3 5.4776272E-10
2.6593020E+3 5.8079657E-10
2.9620350E+3 6.0687627E-10
3.2992300E+3 6.2459219E-10
3.6748100E+3 6.3315230E-10
4.0931470E+3 6.3236220E-10
4.5591070E+3 6.2265645E-10
5.0781110E+3 6.0509705E-10
5.6561970E+3 5.8118347E-10
6.3000930E+3 5.5248656E-10
7.0172890E+3 5.2031578E-10
7.8161300E+3 4.8562007E-10
8.7059100E+3 4.4915136E-10
9.6969820E+3 4.1171119E-10
1.0800876E+4 3.7428718E-10
1.2030437E+4 3.3800975E-10
1.3399969E+4 3.0398618E-10
1.4925408E+4 2.7308144E-10
1.6624501E+4 2.4571774E-10
1.8517016E+4 2.2180098E-10
2.0624974E+4 2.0086872E-10
2.2972900E+4 1.8239329E-10
2.5588111E+4 1.6603267E-10
2.8501035E+4 1.5166384E-10
3.1745563E+4 1.3922709E-10
3.5359445E+4 1.2856126E-10
3.9384728E+4 1.1937477E-10
4.3868244E+4 1.1133855E-10
4.8862159E+4 1.0418308E-10
5.4424577E+4 9.7720945E-11
6.0620214E+4 9.1820794E-11
6.7521156E+4 8.6397646E-11
7.5207695E+4 8.1430709E-11
8.3769261E+4 7.6962087E-11
9.3305466E+4 7.3041621E-11
1.0392726E+5 6.9645436E-11
1.1575824E+5 6.6636413E-11
1.2893603E+5 6.3806882E-11
1.4361398E+5 6.0975707E-11
1.5996284E+5 5.8070377E-11
1.7817285E+5 5.5144148E-11
1.9845586E+5 5.2329057E-11
2.2104787E+5 4.9757043E-11
2.4621173E+5 4.7490630E-11
2.7424021E+5 4.5495874E-11
3.0545943E+5 4.3668830E-11
3.4023262E+5 4.1893472E-11
3.7896435E+5 4.0089470E-11
4.2210526E+5 3.8220231E-11
4.7015728E+5 3.6260829E-11
5.2367949E+5 3.4143317E-11
5.8329463E+5 3.1697730E-11
6.4969628E+5 2.8613606E-11
7.2365703E+5 2.4469439E-11
8.0603739E+5 1.8878314E-11
8.9779585E+5 1.1728220E-11
1.0000000E+6 7.6834480E-12
