fdCdf f
5.0000000E+2 4.7849888E-10
5.5049700E+2 7.3540028E-10
6.0609500E+2 1.1705443E-9
6.6730700E+2 1.4279209E-9
7.3470100E+2 1.5147172E-9
8.0890200E+2 1.4757140E-9
8.9059700E+2 1.3656179E-9
9.8054200E+2 1.2284717E-9
1.0795720E+3 1.0903480E-9
1.1886030E+3 9.6218473E-10
1.3086450E+3 8.4640732E-10
1.4408110E+3 7.4257150E-10
1.5863250E+3 6.5006513E-10
1.7465360E+3 5.6852848E-10
1.9229260E+3 4.9741305E-10
2.1171320E+3 4.3573188E-10
2.3309500E+3 3.8229373E-10
2.5663640E+3 3.3608967E-10
2.8255530E+3 2.9650950E-10
3.1109180E+3 2.6322735E-10
3.4251040E+3 2.3595969E-10
3.7710210E+3 2.1426643E-10
4.1518740E+3 1.9752001E-10
4.5711910E+3 1.8500779E-10
5.0328570E+3 1.7604458E-10
5.5411480E+3 1.7005123E-10
6.1007740E+3 1.6664201E-10
6.7169190E+3 1.6570561E-10
7.3952920E+3 1.6737152E-10
8.1421760E+3 1.7184575E-10
8.9644920E+3 1.7927499E-10
9.8698580E+3 1.8978232E-10
1.0866660E+4 2.0358855E-10
1.1964134E+4 2.2101235E-10
1.3172447E+4 2.4228141E-10
1.4502793E+4 2.6730402E-10
1.5967497E+4 2.9557551E-10
1.7580128E+4 3.2624757E-10
1.9355626E+4 3.5828886E-10
2.1310440E+4 3.9067705E-10
2.3462679E+4 4.2258003E-10
2.5832283E+4 4.5344968E-10
2.8441204E+4 4.8294245E-10
3.1313612E+4 5.1068805E-10
3.4476118E+4 5.3608153E-10
3.7958020E+4 5.5828950E-10
4.1791575E+4 5.7647191E-10
4.6012298E+4 5.9000652E-10
5.0659292E+4 5.9852373E-10
5.5775607E+4 6.0179701E-10
6.1408642E+4 5.9968835E-10
6.7610584E+4 5.9224378E-10
7.4438888E+4 5.7984495E-10
8.1956814E+4 5.6328742E-10
9.0234009E+4 5.4373665E-10
9.9347157E+4 5.2255894E-10
1.0938068E+5 5.0103761E-10
1.2042754E+5 4.8005910E-10
1.3259007E+5 4.5993868E-10
1.4598096E+5 4.4051048E-10
1.6072424E+5 4.2142940E-10
1.7695653E+5 4.0249185E-10
1.9482818E+5 3.8379535E-10
2.1450477E+5 3.6567842E-10
2.3616860E+5 3.4852489E-10
2.6002035E+5 3.3256988E-10
2.8628100E+5 3.1782453E-10
3.1519384E+5 3.0413212E-10
3.4702672E+5 2.9128243E-10
3.8207454E+5 2.7910901E-10
4.2066201E+5 2.6752851E-10
4.6314660E+5 2.5648311E-10
5.0992191E+5 2.4573031E-10
5.6142127E+5 2.3447360E-10
6.1812179E+5 2.2095951E-10
6.8054875E+5 2.0231880E-10
7.4928050E+5 1.7500334E-10
8.2495379E+5 1.3603352E-10
9.0826967E+5 8.4768047E-11
1.0000000E+6 5.5609395E-11
