N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.235578699E+00 1.227857702E+00 1.220720765E+00 1.214319191E+00
1.016672606E+01 1.235775887E+00 1.228169643E+00 1.221174811E+00 1.214941558E+00
1.033324570E+01 1.236061913E+00 1.228619883E+00 1.221826645E+00 1.215829861E+00
1.049996187E+01 1.236474591E+00 1.229264979E+00 1.222753351E+00 1.217082292E+00
1.066670514E+01 1.237065449E+00 1.230179385E+00 1.224052647E+00 1.218817724E+00
1.083333839E+01 1.237902125E+00 1.231456173E+00 1.225839506E+00 1.221166775E+00
1.100000000E+01 1.239068802E+00 1.233202316E+00 1.228233374E+00 1.224247837E+00
1.116672606E+01 1.240661372E+00 1.235524314E+00 1.231331892E+00 1.228129717E+00
1.133324570E+01 1.242774277E+00 1.238501630E+00 1.235172206E+00 1.232786054E+00
1.149996187E+01 1.245476025E+00 1.242150281E+00 1.239692074E+00 1.238066269E+00
1.166670514E+01 1.248777224E+00 1.246391193E+00 1.244715026E+00 1.243709566E+00
1.183333839E+01 1.252604452E+00 1.251046076E+00 1.249981226E+00 1.249410149E+00
1.200000000E+01 1.256799761E+00 1.255875855E+00 1.255219036E+00 1.254904101E+00
1.216672606E+01 1.261157601E+00 1.260649479E+00 1.260220480E+00 1.260030119E+00
1.233324570E+01 1.265485305E+00 1.265205846E+00 1.264880242E+00 1.264738420E+00
1.249996187E+01 1.269654411E+00 1.269477919E+00 1.269188295E+00 1.269060793E+00
1.266670514E+01 1.273618234E+00 1.273478097E+00 1.273196107E+00 1.273071104E+00
1.283333839E+01 1.277396994E+00 1.277265714E+00 1.276982467E+00 1.276856875E+00
1.300000000E+01 1.281049141E+00 1.280918206E+00 1.280631807E+00 1.280532340E+00
