fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11_N 1527486179 0 555 8.693044554E+16 1.000000000E+02 1.676067897E+00 6.243664856E-01 2.514755878E+02 3.203804191E-04 
SC312V1_2.6E+11_N 1527485578 0 555 1.141825179E+17 1.000000000E+02 1.698557135E+00 6.452952740E-01 5.133870759E+02 3.023129048E-04 
SC312V2_2.6E+11_N 1527485579 0 555 1.042701571E+17 1.000000000E+02 1.693248128E+00 6.461306800E-01 5.282226801E+02 5.660438147E-04 
SC312V3_2.6E+11_N 1527485579 0 555 1.162635623E+17 1.000000000E+02 1.700889968E+00 6.424526293E-01 4.659573998E+02 2.844417967E-04 
SC312V4_2.6E+11_N 1527485579 0 555 1.317888492E+17 1.000000000E+02 1.714167963E+00 6.411867488E-01 4.462712415E+02 6.263245669E-04 
SC312V5_2.6E+11_N 1527485579 0 555 1.202431229E+17 1.000000000E+02 1.703125058E+00 6.423676228E-01 4.646086506E+02 2.444603205E-04 
SC312V6_2.6E+11_N 1527485579 0 555 1.268191632E+17 1.000000000E+02 1.707237108E+00 6.421109037E-01 4.605590910E+02 2.411677262E-04 
SC3132V1_8.9E+12_N 1527486312 0 555 2.537994924E+18 1.000000000E+02 2.271101289E+00 6.473393596E-01 5.504491768E+02 5.872297417E-03 
SC320V1_2.1E+12_N 1527485853 0 555 1.044392555E+17 1.000000000E+02 1.687344267E+00 6.262297432E-01 2.679724338E+02 7.083207371E-04 
SC320V2_2.1E+12_N 1527485787 0 555 1.064635095E+17 1.000000000E+02 1.688919519E+00 6.269255922E-01 2.744071577E+02 4.298568879E-04 
SC320V4_2.1E+12_N 1527485617 0 555 9.665574082E+16 1.000000000E+02 1.684139330E+00 6.235534493E-01 2.445991861E+02 2.319392244E-04 
SC320V5_2.1E+12_N 1527486087 0 555 1.218590365E+17 1.000000000E+02 1.702230474E+00 6.271858819E-01 2.768536468E+02 6.909741549E-04 
SC3252V1_2.0E+11_N 1527486179 0 555 9.341998582E+16 1.000000000E+02 1.683520780E+00 6.436348369E-01 4.851257790E+02 2.234978707E-04 
SC328V1_1.9E+12_N 1527486273 0 555 9.489072844E+16 1.000000000E+02 1.681469964E+00 6.263527621E-01 2.690989435E+02 3.050775523E-04 
SC3411V10_2.9E+13_N 1527486595 0 555 2.846697923E+18 1.000000000E+02 2.341899997E+00 6.491479250E-01 5.854658132E+02 5.110990082E-04 
SC3411V12_2.9E+13_N 1527486669 0 555 6.545476750E+18 1.000000000E+02 2.754539364E+00 6.538805850E-01 6.880037717E+02 1.484109876E-03 
SC3411V13_2.9E+13_N 1527486669 0 555 6.952523766E+18 1.000000000E+02 2.786452023E+00 6.547432032E-01 7.085425514E+02 1.854553848E-03 
SC3411V1_2.9E+13_N 1527486470 0 555 5.142546066E+18 1.000000000E+02 2.619027060E+00 6.531128915E-01 6.702263669E+02 1.166140670E-03 
SC3411V2_2.9E+13_N 1527486470 0 555 5.363100797E+18 1.000000000E+02 2.641277625E+00 6.486041027E-01 5.747085975E+02 1.013247366E-03 
SC3411V3_2.9E+13_N 1527486470 0 555 7.961126970E+18 1.000000000E+02 2.883137643E+00 6.539967963E-01 6.907356552E+02 1.331252283E-03 
SC3411V4_2.9E+13_N 1527486470 0 555 8.267346356E+18 1.000000000E+02 2.902123983E+00 6.547330650E-01 7.082976373E+02 1.662276894E-03 
SC3411V5_2.9E+13_N 1527486470 0 555 6.364669693E+18 1.000000000E+02 2.716290362E+00 6.305848120E-01 3.108761369E+02 1.827053710E-03 
SC3411V6_2.9E+13_N 1527486595 0 555 6.503180394E+18 1.000000000E+02 2.725264604E+00 6.313607041E-01 3.192111974E+02 2.239791474E-03 
SC3411V7_2.9E+13_N 1527486595 0 555 6.322374017E+18 1.000000000E+02 2.733982337E+00 6.520015965E-01 6.453028192E+02 1.265323327E-03 
SC3411V8_2.9E+13_N 1527486646 0 555 6.482173359E+18 1.000000000E+02 2.749617028E+00 6.514720348E-01 6.337542888E+02 1.269816594E-03 
SC3411V9_2.9E+13_N 1527486596 0 555 2.547325414E+18 1.000000000E+02 2.302061433E+00 6.484879036E-01 5.724358455E+02 2.967640623E-04 
SC342V1_7.1E+11_N 1527486179 0 555 3.161054885E+17 1.000000000E+02 1.803632272E+00 6.433164621E-01 4.798873681E+02 4.454355997E-04 
SC3491V1_6.6E+12_N 1527486695 0 555 2.021509259E+18 1.000000000E+02 2.204166321E+00 6.308482370E-01 3.136813019E+02 9.952112566E-04 
SC3491V2_6.6E+12_N 1527486695 0 555 1.901544152E+18 1.000000000E+02 2.190614744E+00 6.332310145E-01 3.402333294E+02 1.353503842E-03 
SC3491V3_6.6E+12_N 1527487618 0 555 1.860867131E+18 1.000000000E+02 2.178067222E+00 6.311387063E-01 3.168038099E+02 8.751064935E-04 
SC3491V4_6.6E+12_N 1527487645 0 555 2.081653344E+18 1.000000000E+02 2.217138417E+00 6.316786363E-01 3.226908105E+02 6.838907543E-04 
SC3491V5_6.6E+12_N 1527486695 0 555 2.136923143E+18 1.000000000E+02 2.221578925E+00 6.320005575E-01 3.262527295E+02 1.269513091E-03 
SC3491V6_6.6E+12_N 1527487683 0 555 1.890879931E+18 1.000000000E+02 2.176504293E+00 6.232460082E-01 2.420482221E+02 1.149720173E-03 
SC3492V1_7.6E+12_N 1527487758 0 555 2.398874349E+18 1.000000000E+02 2.266178854E+00 6.326281211E-01 3.333098768E+02 8.384769908E-04 
SC3492V2_7.6E+12_N 1527487789 0 555 2.219661555E+18 1.000000000E+02 2.235945420E+00 6.260772348E-01 2.665824265E+02 6.741877981E-04 
SC3492V3_7.6E+12_N 1527487824 0 555 2.178441225E+18 1.000000000E+02 2.223329113E+00 6.260886010E-01 2.666857723E+02 1.433601335E-03 
SC3492V4_7.6E+12_N 1527487853 0 555 2.439069289E+18 1.000000000E+02 2.270821405E+00 6.326127313E-01 3.331350019E+02 9.916394603E-04 
