fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 10:7 303 38.26 2.186E+000 1.921E-006 1.724E-011 2.301 0.8949 4.857E+004 1.453E-004 0.2582 1.452E-004 1.889E-005 0.5037 
UDL1 10:9 303.1 38.25 2.186E+000 2.706E-006 2.485E-010 2.507 1.024 4.857E+004 1.464E-004 0.2585 1.463E-004 1.856E-005 0.4905 
UDL2 10:12 303.2 38.24 2.186E+000 2.471E-006 1.065E-010 2.437 0.9776 4.857E+004 1.469E-004 0.2579 1.468E-004 1.872E-005 0.4943 
UDL3 10:15 303.2 38.24 2.186E+000 2.231E-006 5.099E-011 2.375 0.9413 4.857E+004 1.466E-004 0.2578 1.465E-004 1.884E-005 0.4986 
UDL4 10:17 303.2 38.24 2.186E+000 2.326E-006 7.181E-011 2.399 0.9579 4.857E+004 1.452E-004 0.2571 1.452E-004 1.852E-005 0.4962 
UDL5 10:20 303.2 38.24 2.186E+000 2.355E-006 7.354E-011 2.404 0.9586 4.857E+004 1.471E-004 0.2577 1.471E-004 1.881E-005 0.4964 
UDL6 10:22 303.2 38.24 2.186E+000 2.573E-006 1.461E-010 2.458 0.9937 4.857E+004 1.457E-004 0.2569 1.457E-004 1.842E-005 0.492 
UDL7 10:24 303.3 38.23 2.186E+000 1.961E-006 1.365E-011 2.293 0.8817 4.857E+004 1.464E-004 0.2569 1.463E-004 1.895E-005 0.504 
UDL8 10:28 303.4 38.21 2.186E+000 2.534E-006 1.111E-010 2.44 0.9774 4.857E+004 1.465E-004 0.2567 1.464E-004 1.852E-005 0.4928 
UDL9 10:31 303.4 38.21 2.186E+000 2.651E-006 1.601E-010 2.468 0.9964 4.857E+004 1.456E-004 0.2562 1.456E-004 1.830E-005 0.4908 
