Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.262905050E+00 1.219189328E+00 4.371572200E-02 1.247158940E+00 1.208490799E+00 3.866814100E-02 1.574611000E-02 1.069852900E-02
1.468000E+10 1.262978439E+00 1.219342526E+00 4.363591300E-02 1.251230213E+00 1.211762937E+00 3.946727600E-02 1.174822600E-02 7.579589000E-03
2.154000E+10 1.263085384E+00 1.219563641E+00 4.352174300E-02 1.254418273E+00 1.214234771E+00 4.018350200E-02 8.667111000E-03 5.328870000E-03
3.162000E+10 1.263240775E+00 1.219880545E+00 4.336023000E-02 1.256924477E+00 1.216157731E+00 4.076674600E-02 6.316298000E-03 3.722814000E-03
4.642000E+10 1.263465578E+00 1.220330052E+00 4.313552600E-02 1.258914223E+00 1.217741143E+00 4.117308000E-02 4.551355000E-03 2.588909000E-03
6.813000E+10 1.263788766E+00 1.220958746E+00 4.283002000E-02 1.260538017E+00 1.219162682E+00 4.137533500E-02 3.250749000E-03 1.796064000E-03
1.000000E+11 1.264249364E+00 1.221821422E+00 4.242794200E-02 1.261939816E+00 1.220575038E+00 4.136477800E-02 2.309548000E-03 1.246384000E-03
1.468000E+11 1.264897992E+00 1.222976303E+00 4.192168900E-02 1.263258865E+00 1.222108091E+00 4.115077400E-02 1.639127000E-03 8.682120000E-04
2.154000E+11 1.265797030E+00 1.224475999E+00 4.132103100E-02 1.264629318E+00 1.223866014E+00 4.076330400E-02 1.167712000E-03 6.099850000E-04
3.162000E+11 1.267018085E+00 1.226355997E+00 4.066208800E-02 1.266178540E+00 1.225921057E+00 4.025748300E-02 8.395450000E-04 4.349400000E-04
4.642000E+11 1.268635724E+00 1.228625550E+00 4.001017400E-02 1.268022938E+00 1.228308474E+00 3.971446400E-02 6.127860000E-04 3.170760000E-04
6.813000E+11 1.270717260E+00 1.231266634E+00 3.945062600E-02 1.270260527E+00 1.231028655E+00 3.923187200E-02 4.567330000E-04 2.379790000E-04
1.000000E+12 1.273310459E+00 1.234242946E+00 3.906751300E-02 1.272961207E+00 1.234058253E+00 3.890295400E-02 3.492520000E-04 1.846930000E-04
1.468000E+12 1.276432505E+00 1.237514554E+00 3.891795100E-02 1.276157954E+00 1.237366352E+00 3.879160200E-02 2.745510000E-04 1.482020000E-04
2.154000E+12 1.280065030E+00 1.241051526E+00 3.901350400E-02 1.279843502E+00 1.240929126E+00 3.891437600E-02 2.215280000E-04 1.224000000E-04
3.162000E+12 1.284159355E+00 1.244841495E+00 3.931786000E-02 1.283976774E+00 1.244738168E+00 3.923860600E-02 1.825810000E-04 1.033270000E-04
4.642000E+12 1.288651942E+00 1.248888967E+00 3.976297500E-02 1.288499218E+00 1.248800468E+00 3.969875000E-02 1.527240000E-04 8.849900000E-05
6.813000E+12 1.293482321E+00 1.253207688E+00 4.027463300E-02 1.293353488E+00 1.253131266E+00 4.022222200E-02 1.288330000E-04 7.642200000E-05
1.000000E+13 1.298602702E+00 1.257810814E+00 4.079188800E-02 1.298493667E+00 1.257744616E+00 4.074905100E-02 1.090350000E-04 6.619800000E-05
