name time T kT_1 I
00 9:01:42 286.4 40.48 7.028E-008
00 9:20:14 289.5 40.05 1.299E-007
00 9:43:00 292.4 39.65 6.962E-008
00 10:00:50 293.7 39.48 8.110E-008
00 10:26:36 298.3 38.87 1.161E-007
001 10:48:28 302.4 38.34 1.177E-007
001 11:04:56 304.6 38.06 1.308E-007
001 11:23:16 307 37.77 1.811E-007
001 11:44:10 310.1 37.39 2.155E-007
001 12:09:28 314.2 36.9 2.600E-007
002 12:18:56 315.1 36.8 3.060E-007
002 12:40:46 318.4 36.41 3.489E-007
002 13:01:50 321.7 36.04 4.019E-007
002 13:19:06 324.1 35.77 4.518E-007
002 13:38:00 327.5 35.4 5.570E-007
003 13:58:28 331.8 34.94 7.389E-007
003 14:11:50 332.2 34.9 7.382E-007
