N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 8.0774715E-06 -6.8013155E-03 -5.3060340E-03 -1.7941656E-03 8.8519625E-06 -6.7489373E-03 -5.2840726E-03 -1.7615029E-03 5.1762162E-04 9.2942610E-03 -7.1373247E-02 6.2320151E-03
1.000000E+10 1.000E+15 2.300E-4 5.6723591E-06 -6.8196338E-03 -5.3112594E-03 -1.8074869E-03 5.7148358E-06 -6.7571676E-03 -5.2835683E-03 -1.7689737E-03 2.0209487E-05 8.8949767E-03 -7.2982314E-02 6.0971641E-03
1.000000E+10 1.000E+15 2.800E-4 4.4781321E-06 -6.8437050E-03 -5.3230551E-03 -1.8215632E-03 3.6761301E-06 -6.7718854E-03 -5.2894443E-03 -1.7782212E-03 -2.9289446E-04 8.5745456E-03 -8.0757805E-02 5.9274792E-03
1.000000E+10 1.000E+15 3.300E-4 3.9481092E-06 -6.8722145E-03 -5.3377242E-03 -1.8387434E-03 2.2337053E-06 -6.7936735E-03 -5.2979596E-03 -1.7939094E-03 -5.1239870E-04 8.0915332E-03 -9.4284120E-02 5.4386982E-03
1.000000E+10 1.000E+15 3.800E-4 3.7489295E-06 -6.8973796E-03 -5.3533409E-03 -1.8510222E-03 1.0998971E-06 -6.8111313E-03 -5.3076327E-03 -1.8031574E-03 -6.7285562E-04 7.8858014E-03 -1.1345872E-01 5.2787115E-03
1.000000E+10 1.778E+15 1.800E-4 9.2622603E-06 -6.7521358E-03 -5.2976425E-03 -1.7490092E-03 1.8971470E-05 -6.7056992E-03 -5.2722318E-03 -1.7321169E-03 7.9352650E-03 1.6229186E-02 5.3948229E-02 1.0076795E-02
1.000000E+10 1.778E+15 2.300E-4 6.9470318E-06 -6.7603797E-03 -5.3004478E-03 -1.7531576E-03 1.8683712E-05 -6.7030419E-03 -5.2686158E-03 -1.7325754E-03 6.7529974E-03 1.5325235E-02 5.2962951E-02 9.9292332E-03
1.000000E+10 1.778E+15 2.800E-4 5.8356608E-06 -6.7797176E-03 -5.3093281E-03 -1.7652767E-03 1.9373480E-05 -6.7070817E-03 -5.2712651E-03 -1.7351386E-03 6.0148013E-03 1.5840262E-02 5.1171050E-02 1.2387434E-02
1.000000E+10 1.778E+15 3.300E-4 5.3444252E-06 -6.7967801E-03 -5.3206769E-03 -1.7694859E-03 2.0600846E-05 -6.7134763E-03 -5.2763436E-03 -1.7383814E-03 5.5454097E-03 1.3682972E-02 4.9815747E-02 9.2241988E-03
1.000000E+10 1.778E+15 3.800E-4 5.1791843E-06 -6.8133808E-03 -5.3328372E-03 -1.7753905E-03 2.1894921E-05 -6.7211113E-03 -5.2824301E-03 -1.7420548E-03 5.1662003E-03 1.3359591E-02 4.8396537E-02 9.0309119E-03
1.000000E+10 3.162E+15 1.800E-4 1.2773276E-05 -6.7186082E-03 -5.2813663E-03 -1.7308423E-03 3.3926607E-05 -6.6750621E-03 -5.2605457E-03 -1.7227011E-03 2.8146925E-02 3.3666874E-02 6.5123820E-02 1.7791561E-02
1.000000E+10 3.162E+15 2.300E-4 1.0847960E-05 -6.7189420E-03 -5.2797688E-03 -1.7308170E-03 3.7089044E-05 -6.6647157E-03 -5.2537305E-03 -1.7209111E-03 2.4227684E-02 3.1084953E-02 6.6864730E-02 1.6525294E-02
1.000000E+10 3.162E+15 2.800E-4 1.0003362E-05 -6.7255393E-03 -5.2841926E-03 -1.7328572E-03 4.0914395E-05 -6.6613511E-03 -5.2532118E-03 -1.7211305E-03 2.1885956E-02 2.9318350E-02 6.3553048E-02 1.6726231E-02
1.000000E+10 3.162E+15 3.300E-4 9.7241789E-06 -6.7344390E-03 -5.2908521E-03 -1.7356652E-03 4.4950291E-05 -6.6608425E-03 -5.2551607E-03 -1.7221569E-03 2.0335537E-02 2.8095902E-02 5.9783838E-02 1.7396020E-02
1.000000E+10 3.162E+15 3.800E-4 9.7174478E-06 -6.7439254E-03 -5.2981944E-03 -1.7386860E-03 4.8986926E-05 -6.6615087E-03 -5.2581191E-03 -1.7235138E-03 1.9251029E-02 2.7213879E-02 5.7141041E-02 1.7792820E-02
1.000000E+10 5.623E+15 1.800E-4 2.0923019E-05 -6.6927889E-03 -5.2676173E-03 -1.7234694E-03 5.9471914E-05 -6.6448500E-03 -5.2533156E-03 -1.7196550E-03 -4.7505260E-01 -4.6615614E-01 -1.4127893E-01 5.4647121E-02
