fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
UDT0 7:58 300.9 38.53 1.474E+000 8.601E-006 4.688E-011 2.816 0.9375 1.425E+004 
UDT1 8:0 300.9 38.53 1.474E+000 8.106E-006 2.258E-011 2.767 0.9043 1.425E+004 
UDT2 8:3 301 38.52 1.472E+000 8.027E-006 2.182E-011 2.757 0.9035 1.407E+004 
UDT3 8:6 301 38.52 1.472E+000 8.207E-006 2.260E-011 2.769 0.9035 1.407E+004 
UDT4 8:8 301.1 38.51 1.470E+000 8.216E-006 2.593E-011 2.769 0.9099 1.389E+004 
UDT5 8:11 301.2 38.49 1.467E+000 8.073E-006 1.879E-011 2.751 0.8955 1.371E+004 
UDT6 8:13 301.2 38.49 1.467E+000 8.116E-006 2.031E-011 2.756 0.8987 1.371E+004 
UDT7 8:16 301.3 38.48 1.465E+000 8.394E-006 3.447E-011 2.78 0.9224 1.353E+004 
UDT8 8:18 301.3 38.48 1.465E+000 8.426E-006 3.825E-011 2.781 0.9273 1.353E+004 
UDT9 8:21 301.4 38.47 1.463E+000 8.009E-006 1.865E-011 2.738 0.8951 1.335E+004 
