x Ef Eg
10 0.15236201 1.104743
9.9999 0.15236151 1.104743
9.999799 0.152361 1.104743
9.999693 0.15236048 1.104743
9.999579 0.15235992 1.104743
9.999455 0.15235932 1.104743
9.999316 0.15235864 1.104743
9.999156 0.15235788 1.104743
9.998971 0.15235701 1.104743
9.998751 0.15235599 1.104743
9.998487 0.15235479 1.104743
9.998166 0.15235335 1.104743
9.997769 0.15235163 1.104743
9.997276 0.15234956 1.104743
9.996655 0.15234706 1.104743
9.995867 0.15234405 1.104743
9.994862 0.15234045 1.104743
9.993572 0.15233621 1.104743
9.991907 0.15233132 1.104743
9.989751 0.15232582 1.104743
9.986951 0.15231989 1.104743
9.98331 0.15231383 1.104743
9.978574 0.15230807 1.104743
9.972413 0.15230309 1.104743
9.96441 0.15229928 1.104743
9.954038 0.1522968 1.104743
9.940637 0.15229547 1.104743
9.92339 0.15229491 1.104743
9.901299 0.15229473 1.104743
9.873159 0.15229469 1.104743
9.837538 0.15229469 1.104743
9.79276 0.15229469 1.104743
9.736902 0.15229469 1.104743
9.667796 0.15229469 1.104743
9.583061 0.15229469 1.104743
9.48014 0.15229469 1.104743
9.356379 0.15229469 1.104743
9.209113 0.15229469 1.104743
9.035797 0.15229469 1.104743
8.834139 0.15229469 1.104743
8.602264 0.15229469 1.104743
8.338876 0.15229469 1.104743
8.043417 0.15229469 1.104743
7.716204 0.15229469 1.104743
7.358533 0.15229469 1.104743
6.97274 0.15229469 1.104743
6.562193 0.15229469 1.104743
6.131229 0.15229469 1.104743
5.685025 0.15229469 1.104743
5.229404 0.15229469 1.104743
4.770596 0.15229469 1.104743
4.314975 0.15229469 1.104743
3.868771 0.15229469 1.104743
3.437807 0.15229469 1.104743
3.02726 0.1522947 1.104743
2.641467 0.1522947 1.104743
2.283796 0.1522947 1.104743
1.956583 0.1522947 1.104743
1.661124 0.1522947 1.104743
1.397736 0.1522947 1.104743
1.165861 0.1522947 1.104743
0.964203000000001 0.1522947 1.104743
0.790887000000001 0.1522947 1.104743
0.643621 0.1522947 1.104743
0.519860000000001 0.1522947 1.104743
0.416938999999999 0.1522947 1.104743
0.332204000000001 0.1522947 1.104743
0.263097999999999 0.15229472 1.104743
0.207239999999999 0.15229519 1.104743
0.162462000000001 0.1523018 1.104743
0.126840999999999 0.1523639 1.104743
0.0987009999999984 0.1527596 1.104743
0.0766099999999987 0.15450012 1.104743
0.0593630000000012 0.15987671 1.104743
0.0459619999999994 0.1716515 1.104743
0.0355899999999991 0.19031036 1.104743
0.0275870000000005 0.21312338 1.104743
0.0214260000000017 0.2366115 1.104743
0.0166900000000005 0.25841788 1.104743
0.0130489999999988 0.27744895 1.104743
0.0102490000000017 0.29344081 1.104743
0.0080929999999988 0.3065659 1.104743
0.00642799999999966 0.31718351 1.104743
0.00513799999999875 0.32570198 1.104743
0.0041329999999995 0.33251059 1.104743
0.00334499999999949 0.33795074 1.104743
0.00272400000000061 0.3423081 1.104743
0.00223099999999832 0.34581494 1.104743
0.00183399999999878 0.34865668 1.104743
0.00151299999999921 0.35097968 1.104743
0.00124900000000139 0.35289876 1.104743
0.00102899999999906 0.35450376 1.104743
0.000844000000000733 0.35586509 1.104743
0.000683999999999685 0.35703819 1.104743
0.000544999999998907 0.35806716 1.104743
0.000420999999999339 0.35898764 1.104743
0.000306999999999391 0.35982908 1.104743
0.000201000000000562 0.36061673 1.104743
9.99999999997669E-5 0.36137327 1.104743
0 0.36212041 1.104743
