T nFsrh nFBsrh dnsrh nF nFB dn
290 1.181817744E+00 1.185152243E+0 -3.334499000E-03 1.181817744E+00 1.185152243E+0 -3.334499000E-03
295 1.186265437E+00 1.188762877E+0 -2.497440000E-03 1.186265437E+00 1.188762877E+0 -2.497440000E-03
300 1.194004159E+00 1.192380337E+0 1.623822000E-03 1.194004159E+00 1.192380337E+0 1.623822000E-03
305 1.192075925E+00 1.196002730E+0 -3.926805000E-03 1.192075925E+00 1.196002730E+0 -3.926805000E-03
310 1.198218533E+00 1.199625624E+0 -1.407091000E-03 1.198218533E+00 1.199625624E+0 -1.407091000E-03
315 1.201277097E+00 1.203238716E+0 -1.961619000E-03 1.201277097E+00 1.203238716E+0 -1.961619000E-03
320 1.204074418E+00 1.206818514E+0 -2.744096000E-03 1.204074418E+00 1.206818514E+0 -2.744096000E-03
325 1.209933534E+00 1.210312761E+0 -3.792270000E-04 1.209933534E+00 1.210312761E+0 -3.792270000E-04
330 1.214860841E+00 1.213608286E+0 1.252555000E-03 1.214860841E+00 1.213608286E+0 1.252555000E-03
335 1.218557031E+00 1.216467268E+0 2.089763000E-03 1.218557031E+00 1.216467268E+0 2.089763000E-03
340 1.220707890E+00 1.218407937E+0 2.299953000E-03 1.220707890E+00 1.218407937E+0 2.299953000E-03
