Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.207913109E+00 1.216089134E+0 -8.176025000E-03 1.207913109E+00 1.216089134E+0 -8.176025000E-03
1.468000E+10 1.207918144E+00 1.208400366E+0 -4.822220000E-04 1.207918144E+00 1.208400366E+0 -4.822220000E-04
2.154000E+10 1.207925319E+00 1.200985435E+0 6.939884000E-03 1.207925319E+00 1.200985435E+0 6.939884000E-03
3.162000E+10 1.207935651E+00 1.193817882E+0 1.411776900E-02 1.207935651E+00 1.193817882E+0 1.411776900E-02
4.642000E+10 1.207950566E+00 1.186897230E+0 2.105333600E-02 1.207950566E+00 1.186897230E+0 2.105333600E-02
6.813000E+10 1.207972039E+00 1.180220947E+0 2.775109200E-02 1.207972039E+00 1.180220947E+0 2.775109200E-02
1.000000E+11 1.208002789E+00 1.173775494E+0 3.422729500E-02 1.208002789E+00 1.173775494E+0 3.422729500E-02
1.468000E+11 1.208046405E+00 1.167552068E+0 4.049433700E-02 1.208046405E+00 1.167552068E+0 4.049433700E-02
2.154000E+11 1.208107337E+00 1.161553122E+0 4.655421500E-02 1.208107337E+00 1.161553122E+0 4.655421500E-02
3.162000E+11 1.208190780E+00 1.155756952E+0 5.243382800E-02 1.208190780E+00 1.155756952E+0 5.243382800E-02
4.642000E+11 1.208301942E+00 1.150162905E+0 5.813903700E-02 1.208301942E+00 1.150162905E+0 5.813903700E-02
6.813000E+11 1.208444553E+00 1.144768672E+0 6.367588100E-02 1.208444553E+00 1.144768672E+0 6.367588100E-02
1.000000E+12 1.216208001E+00 1.139563075E+0 7.664492600E-02 1.216208001E+00 1.139563075E+0 7.664492600E-02
1.468000E+12 1.219591982E+00 1.134538781E+0 8.505320100E-02 1.219591982E+00 1.134538781E+0 8.505320100E-02
2.154000E+12 1.219840795E+00 1.129697560E+0 9.014323500E-02 1.219840795E+00 1.129697560E+0 9.014323500E-02
3.162000E+12 1.220149982E+00 1.125021702E+0 9.512828000E-02 1.220149982E+00 1.125021702E+0 9.512828000E-02
4.642000E+12 1.220447891E+00 1.120510501E+0 9.993739000E-02 1.220447891E+00 1.120510501E+0 9.993739000E-02
6.813000E+12 1.235478865E+00 1.116161927E+0 1.193169380E-01 1.235478865E+00 1.116161927E+0 1.193169380E-01
1.000000E+13 1.244880720E+00 1.111966807E+0 1.329139130E-01 1.244880720E+00 1.111966807E+0 1.329139130E-01
