T nFsrh nFBsrh dnsrh nF nFB dn
290 1.181739028E+00 1.225937469E+0 -4.419844100E-02 1.181739028E+00 1.225937469E+0 -4.419844100E-02
295 1.189606542E+00 1.185743476E+0 3.863066000E-03 1.189606542E+00 1.185743476E+0 3.863066000E-03
300 1.187216422E+00 1.153466014E+0 3.375040800E-02 1.187216422E+00 1.153466014E+0 3.375040800E-02
305 1.194873274E+00 1.127440788E+0 6.743248600E-02 1.194873274E+00 1.127440788E+0 6.743248600E-02
310 1.202275720E+00 1.106364088E+0 9.591163200E-02 1.202275720E+00 1.106364088E+0 9.591163200E-02
315 1.200665375E+00 1.089216015E+0 1.114493600E-01 1.200665375E+00 1.089216015E+0 1.114493600E-01
320 1.206414199E+00 1.075198276E+0 1.312159230E-01 1.206414199E+00 1.075198276E+0 1.312159230E-01
325 1.207817407E+00 1.063684899E+0 1.441325080E-01 1.207817407E+00 1.063684899E+0 1.441325080E-01
330 1.213092331E+00 1.054183704E+0 1.589086270E-01 1.213092331E+00 1.054183704E+0 1.589086270E-01
335 1.213138446E+00 1.046306416E+0 1.668320300E-01 1.213138446E+00 1.046306416E+0 1.668320300E-01
340 1.204783941E+00 1.039745584E+0 1.650383570E-01 1.204783941E+00 1.039745584E+0 1.650383570E-01
