fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B107FE100_T 1317817142 0 555 7.075842668E-04 6.045811041E+00 8.903750581E-01 4.048765480E-02 1.000000000E+17 9.119688873E-04 
B107FE101_T 1317817142 0 555 7.087738462E-04 6.073179824E+00 3.161927643E-01 4.751589942E-02 1.000000000E+17 9.651910497E-04 
B107FE102_T 1317817142 0 555 7.278902943E-04 6.493700064E+00 6.111407882E-01 3.867221658E-02 1.000000000E+17 9.607450832E-04 
B107FE103_T 1317817142 0 555 7.961527985E-04 3.000000000E-01 3.873162499E-01 2.278241881E-02 1.000000000E+17 1.092229882E-03 
B107FE140_T 1317817142 0 555 7.076592716E-04 7.869892294E+00 4.542444948E-01 6.471205273E-02 1.000000000E+17 9.149094550E-04 
B107FE141_T 1317817142 0 555 7.097424297E-04 4.141118522E+00 6.351479547E-01 7.068396313E-02 1.000000000E+17 9.659969505E-04 
B107FE142_T 1317817142 0 555 7.338447423E-04 4.683293674E-01 7.057415926E-01 4.394608971E-02 1.000000000E+17 1.038122119E-03 
B107FE210_T 1317817142 0 555 7.077495451E-04 2.216314115E+00 5.744190704E-01 9.259199261E-02 1.000000000E+17 9.191073071E-04 
B107FE211_T 1317817142 0 555 7.111236659E-04 3.122181883E-01 4.235810431E-01 2.776174540E-02 1.000000000E+17 9.854621199E-04 
B107FE212_T 1317817142 0 555 7.425594184E-04 6.060113629E+00 2.279020157E-01 6.354255544E-02 1.000000000E+17 1.337931115E-03 
B107FE310_T 1317817142 0 555 7.078809111E-04 3.931604468E+00 9.025372700E-02 5.722615746E-02 1.000000000E+17 9.252910005E-04 
B107FE311_T 1317817142 0 555 7.133851589E-04 4.957083277E+00 2.669789693E-01 9.831577920E-02 1.000000000E+17 1.019167424E-03 
B107FE312_T 1317817142 0 555 7.528189939E-04 3.723690935E+00 2.832588280E-01 7.941561172E-02 1.000000000E+17 9.279829112E-04 
B107FE460_T 1317817142 0 555 7.080718482E-04 6.687572242E+00 5.716941229E-01 8.845906272E-02 1.000000000E+17 9.343899225E-04 
B107FE461_T 1317817142 0 555 7.167197323E-04 3.323497585E+00 2.416209690E-01 7.606045560E-02 1.000000000E+17 1.108359576E-03 
B107FE462_T 1317817142 0 555 7.630811123E-04 3.390774507E+00 1.091703148E-01 7.786766209E-02 1.000000000E+17 1.275939019E-03 
B107FE680_T 1317817142 0 555 7.083483052E-04 6.724960865E+00 2.967441189E-01 8.971838396E-02 1.000000000E+17 9.477838835E-04 
B107FE681_T 1317817142 0 555 7.196371344E-04 5.228183363E+00 5.864296962E-01 4.808822480E-02 1.000000000E+17 1.188652809E-03 
B107FE682_T 1317817142 0 555 7.848373090E-04 3.000000000E-01 5.029222450E-01 2.958043770E-02 1.000000000E+17 1.286036258E-03 
