fname V Rs Rt Qt nt Rr Qr nr rmsre
d44sm1V2n2 -1.2 1.4320270E+1 6.1584886E+3 7.7395246E-10 1.0000000E+0 2.0000796E+5 2.8824662E-10 9.8449506E-1 4.5707935E-2
d44sm1V1n1 -1.1 1.4070892E+1 6.1038002E+3 7.9429764E-10 1.0000000E+0 1.7560356E+5 2.7437895E-10 9.9132097E-1 4.3597445E-2
d44sm1Vn1 -1 1.4005936E+1 5.8178449E+3 8.1100648E-10 1.0000000E+0 1.9630503E+5 3.0150920E-10 9.8763859E-1 4.8004379E-2
d44sm0V9n1 -0.9 1.3947317E+1 5.5183726E+3 8.2961306E-10 1.0000000E+0 2.0676824E+5 3.2498635E-10 9.8579620E-1 4.5384769E-2
d44sm0V8n1 -0.8 1.4086849E+1 5.3055262E+3 8.5038683E-10 1.0000000E+0 2.1068754E+5 3.2732999E-10 9.8992048E-1 4.7784071E-2
d44sm0V7n1 -0.7 1.4178466E+1 5.0932685E+3 8.7231876E-10 1.0000000E+0 2.1984504E+5 3.4549774E-10 9.9058997E-1 4.7787307E-2
d44sm0V6n1 -0.6 1.4064427E+1 4.7662573E+3 8.9676694E-10 1.0000000E+0 2.2948362E+5 3.8244573E-10 9.8787929E-1 4.8565002E-2
d44sm0V5n1 -0.5 1.4624177E+1 4.6662507E+3 9.2860817E-10 1.0000000E+0 2.2656387E+5 3.8693119E-10 9.9321760E-1 4.9186071E-2
d44sm0V4n1 -0.4 1.4645643E+1 4.3448386E+3 9.5974400E-10 1.0000000E+0 2.1582718E+5 4.3599048E-10 9.9029963E-1 4.9529178E-2
d44sm0V3n1 -0.3 1.4627696E+1 4.0433364E+3 9.9422122E-10 1.0000000E+0 1.7160453E+5 4.6967649E-10 9.9206020E-1 4.7086533E-2
d44sm0V2n1 -0.2 1.4563825E+1 3.6797423E+3 1.0344225E-9 1.0000000E+0 1.1674374E+5 4.9766118E-10 9.9643670E-1 4.5401450E-2
d44sm0V1n1 -0.1 1.1252437E+1 3.5701314E+3 1.3045074E-9 9.8717235E-1 7.0870092E+4 5.7577315E-10 9.9070165E-1 3.4163353E-2
d44s0Vn1 0 2.6737909E+0 3.7698705E+3 2.3085160E-9 9.5182602E-1 1.2629185E+4 5.9286430E-10 1.0000000E+0 1.5146176E-2
d44s0V1n1 0.1 3.4876271E+0 2.1053084E+3 2.1236393E-9 9.5962220E-1 5.7920234E+2 2.5264094E-9 9.9429742E-1 5.1263052E-3
d44s0V2n1 0.2 3.5824102E+0 1.5421737E+3 2.2103117E-9 9.5607880E-1 2.0052366E+2 1.0000000E-7 8.7972505E-1 2.6962076E-3
d44s0V3n1 0.3 6.6080846E+0 1.3572880E+3 2.3103791E-9 9.5008697E-1 6.6780243E+2 1.3477384E-8 9.3310809E-1 2.2179845E-3
