N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 7.9173581E-05 -4.4828640E-03 -3.4735554E-03 -1.2061704E-03 8.2283845E-05 -4.4890323E-03 -3.4773940E-03 -1.2119900E-03 5.6277952E-02 2.6511690E-03 1.9503266E-03 9.6780420E-03
1.000000E+10 1.000E+15 2.300E-4 7.6987811E-05 -4.5175230E-03 -3.4719017E-03 -1.2445554E-03 8.1375722E-05 -4.5221052E-03 -3.4768589E-03 -1.2485169E-03 9.3931307E-02 1.5115061E-03 1.9766055E-03 5.7779081E-03
1.000000E+10 1.000E+15 2.800E-4 8.0102179E-05 -4.5464227E-03 -3.4708085E-03 -1.2818187E-03 8.5950464E-05 -4.5486848E-03 -3.4769593E-03 -1.2833620E-03 2.0974429E-01 6.0073786E-04 2.0123028E-03 2.1122361E-03
1.000000E+10 1.000E+15 3.300E-4 7.4423543E-05 -4.5836830E-03 -3.4707290E-03 -1.3173347E-03 8.1732225E-05 -4.5850092E-03 -3.4781281E-03 -1.3168294E-03 5.5517712E+00 -3.5276122E-05 2.0521617E-03 -7.5635267E-04
1.000000E+10 1.000E+15 3.800E-4 7.2615368E-05 -4.6174782E-03 -3.4708927E-03 -1.3530141E-03 8.1509359E-05 -4.6146628E-03 -3.4795993E-03 -1.3489071E-03 -2.7884323E-01 -7.0500878E-04 2.0951365E-03 -3.9427015E-03
1.000000E+10 1.778E+15 1.800E-4 7.9112858E-05 -4.4485012E-03 -3.4722548E-03 -1.1684428E-03 8.4202342E-05 -4.4416686E-03 -3.4770010E-03 -1.1612352E-03 1.0043965E-01 -4.0257138E-03 2.7404544E-03 1.1721392E-01
1.000000E+10 1.778E+15 2.300E-4 7.6917164E-05 -4.4632320E-03 -3.4702060E-03 -1.1855666E-03 8.4019561E-05 -4.4623047E-03 -3.4763865E-03 -1.1849760E-03 1.9436712E-01 -3.8129633E-04 2.8123117E-03 5.2939078E-03
1.000000E+10 1.778E+15 2.800E-4 7.9314384E-05 -4.4821811E-03 -3.4688569E-03 -1.2104446E-03 8.8657318E-05 -4.4818751E-03 -3.4764696E-03 -1.2110624E-03 1.2115776E+00 -9.9848156E-05 2.8541950E-03 -4.5595095E-03
1.000000E+10 1.778E+15 3.300E-4 7.4189654E-05 -4.5084156E-03 -3.4683870E-03 -1.2354809E-03 8.5965358E-05 -4.5060067E-03 -3.4774950E-03 -1.2344763E-03 -3.4101054E-01 -8.7781600E-04 2.9071372E-03 4.5888991E-03
1.000000E+10 1.778E+15 3.800E-4 7.2676693E-05 -4.5318375E-03 -3.4681950E-03 -1.2604850E-03 8.7029684E-05 -4.5268822E-03 -3.4788193E-03 -1.2574796E-03 -1.6221757E-01 -1.5754256E-03 2.9579002E-03 1.0362256E-02
1.000000E+10 3.162E+15 1.800E-4 8.2895826E-05 -4.4242589E-03 -3.4707170E-03 -1.1462669E-03 9.1022450E-05 -4.4099865E-03 -3.4738270E-03 -1.1353084E-03 -6.6192103E-01 -1.4366176E-02 2.1368016E-03 2.3396903E-02
1.000000E+10 3.162E+15 2.300E-4 7.8256218E-05 -4.4372853E-03 -3.4684003E-03 -1.1588954E-03 8.9529993E-05 -4.4195365E-03 -3.4724118E-03 -1.1461051E-03 -2.2647468E-01 -1.3618667E-02 2.1837019E-03 2.2623793E-02
1.000000E+10 3.162E+15 2.800E-4 7.6877553E-05 -4.4457146E-03 -3.4668186E-03 -1.1690526E-03 9.1396604E-05 -4.4235946E-03 -3.4718169E-03 -1.1537089E-03 -1.3662750E-01 -1.3472993E-02 2.2591969E-03 2.3083340E-02
1.000000E+10 3.162E+15 3.300E-4 7.9162443E-05 -4.4545834E-03 -3.4656565E-03 -1.1823754E-03 9.7326875E-05 -4.4289491E-03 -3.4716578E-03 -1.1655457E-03 -1.0080944E-01 -1.3011942E-02 2.3204597E-03 2.2037210E-02
