Nt f
1.0077810E+3 8.2808846E+14
1.1225050E+3 1.3149910E+15
1.2502900E+3 1.6372841E+15
1.3926220E+3 1.7430412E+15
1.5511570E+3 1.6961393E+15
1.7277390E+3 1.5935810E+15
1.9244230E+3 1.4956924E+15
2.1434970E+3 1.4166509E+15
2.3875110E+3 1.3536729E+15
2.6593020E+3 1.3094570E+15
2.9620350E+3 1.2909740E+15
3.2992300E+3 1.2996769E+15
3.6748100E+3 1.3294930E+15
4.0931470E+3 1.3719096E+15
4.5591070E+3 1.4191448E+15
5.0781110E+3 1.4633184E+15
5.6561970E+3 1.4965392E+15
6.3000930E+3 1.5143676E+15
7.0172890E+3 1.5191400E+15
7.8161300E+3 1.5188878E+15
8.7059100E+3 1.5220986E+15
9.6969820E+3 1.5324455E+15
1.0800876E+4 1.5473593E+15
1.2030437E+4 1.5608918E+15
1.3399969E+4 1.5681466E+15
1.4925408E+4 1.5680710E+15
1.6624501E+4 1.5633684E+15
1.8517016E+4 1.5585185E+15
2.0624974E+4 1.5576941E+15
2.2972900E+4 1.5636025E+15
2.5588111E+4 1.5772114E+15
2.8501035E+4 1.5978711E+15
3.1745563E+4 1.6236180E+15
3.5359445E+4 1.6518445E+15
3.9384728E+4 1.6803500E+15
4.3868244E+4 1.7081908E+15
4.8862159E+4 1.7356580E+15
5.4424577E+4 1.7634870E+15
6.0620214E+4 1.7921672E+15
6.7521156E+4 1.8220021E+15
7.5207695E+4 1.8536754E+15
8.3769261E+4 1.8885793E+15
9.3305466E+4 1.9284879E+15
1.0392726E+5 1.9747959E+15
1.1575824E+5 2.0279012E+15
1.2893603E+5 2.0871503E+15
1.4361398E+5 2.1512937E+15
1.5996284E+5 2.2189612E+15
1.7817285E+5 2.2887059E+15
1.9845586E+5 2.3586750E+15
2.2104787E+5 2.4263335E+15
2.4621173E+5 2.4886426E+15
2.7424021E+5 2.5426316E+15
3.0545943E+5 2.5859944E+15
3.4023262E+5 2.6173089E+15
3.7896435E+5 2.6356670E+15
4.2210526E+5 2.6395993E+15
4.7015728E+5 2.6250543E+15
5.2367949E+5 2.5821859E+15
5.8329463E+5 2.4914649E+15
6.4969628E+5 2.3215557E+15
7.2365703E+5 2.0334854E+15
8.0603739E+5 1.5947519E+15
8.9779585E+5 1.0005042E+15
1.0000000E+6 6.5858396E+14
