Nt Ew
4.5023110E-1 9.5894291E+4
4.4749178E-1 9.1268117E+4
4.4475243E-1 8.8615292E+4
4.4201308E-1 8.6312201E+4
4.3927373E-1 8.3143539E+4
4.3653439E-1 7.8750819E+4
4.3379505E-1 7.3648163E+4
4.3105571E-1 6.8828116E+4
4.2831636E-1 6.5237987E+4
4.2557702E-1 6.3401679E+4
4.2283767E-1 6.3300519E+4
4.2009833E-1 6.4504854E+4
4.1735899E-1 6.6461927E+4
4.1461964E-1 6.8773682E+4
4.1188030E-1 7.1294900E+4
4.0914095E-1 7.4031040E+4
4.0640161E-1 7.6972365E+4
4.0366227E-1 8.0014273E+4
4.0092293E-1 8.2995078E+4
3.9818358E-1 8.5774644E+4
3.9544424E-1 8.8275510E+4
3.9270489E-1 9.0470819E+4
3.8996555E-1 9.2353565E+4
3.8722621E-1 9.3919736E+4
3.8448686E-1 9.5168650E+4
3.8174752E-1 9.6103651E+4
3.7900818E-1 9.6724467E+4
3.7626883E-1 9.7021528E+4
3.7352949E-1 9.6986613E+4
3.7079015E-1 9.6632086E+4
3.6805080E-1 9.5997198E+4
3.6531146E-1 9.5131885E+4
3.6257211E-1 9.4072166E+4
3.5983277E-1 9.2830901E+4
3.5709343E-1 9.1411742E+4
3.5435408E-1 8.9830569E+4
3.5161474E-1 8.8123875E+4
3.4887540E-1 8.6341127E+4
3.4613605E-1 8.4535888E+4
3.4339671E-1 8.2767365E+4
3.4065737E-1 8.1105854E+4
3.3791802E-1 7.9627731E+4
3.3517868E-1 7.8396861E+4
3.3243934E-1 7.7443023E+4
3.2969999E-1 7.6750075E+4
3.2696065E-1 7.6258086E+4
3.2422130E-1 7.5877086E+4
3.2148196E-1 7.5505408E+4
3.1874262E-1 7.5043724E+4
3.1600327E-1 7.4400970E+4
3.1326393E-1 7.3494851E+4
3.1052459E-1 7.2256018E+4
3.0778524E-1 7.0638801E+4
3.0504590E-1 6.8633279E+4
3.0230656E-1 6.6268501E+4
2.9956721E-1 6.3600336E+4
2.9682787E-1 6.0683197E+4
2.9408852E-1 5.7526867E+4
2.9134918E-1 5.4039977E+4
2.8860984E-1 4.9968575E+4
2.8587049E-1 4.4861434E+4
2.8313115E-1 3.8126809E+4
2.8039181E-1 2.9242150E+4
2.7765246E-1 1.8084692E+4
2.7491312E-1 1.1816938E+4
