Nt f
1.0077810E+3 -2.4106842E+14
1.1225050E+3 -1.4086012E+14
1.2502900E+3 -4.0543879E+13
1.3926220E+3 3.5620732E+12
1.5511570E+3 -1.0256334E+13
1.7277390E+3 -4.4274847E+13
1.9244230E+3 -5.5852616E+13
2.1434970E+3 -2.6673523E+13
2.3875110E+3 3.0144866E+13
2.6593020E+3 8.5621322E+13
2.9620350E+3 1.1818760E+14
3.2992300E+3 1.2622772E+14
3.6748100E+3 1.2281215E+14
4.0931470E+3 1.2104967E+14
4.5591070E+3 1.2412597E+14
5.0781110E+3 1.2659406E+14
5.6561970E+3 1.2225866E+14
6.3000930E+3 1.1006456E+14
7.0172890E+3 9.4172189E+13
7.8161300E+3 8.0570677E+13
8.7059100E+3 7.4021085E+13
9.6969820E+3 7.6730309E+13
1.0800876E+4 8.8182979E+13
1.2030437E+4 1.0561384E+14
1.3399969E+4 1.2516460E+14
1.4925408E+4 1.4352857E+14
1.6624501E+4 1.5934394E+14
1.8517016E+4 1.7366217E+14
2.0624974E+4 1.8943404E+14
2.2972900E+4 2.1043082E+14
2.5588111E+4 2.4001666E+14
2.8501035E+4 2.8001195E+14
3.1745563E+4 3.2996850E+14
3.5359445E+4 3.8736825E+14
3.9384728E+4 4.4895166E+14
4.3868244E+4 5.1252911E+14
4.8862159E+4 5.7809951E+14
5.4424577E+4 6.4760684E+14
6.0620214E+4 7.2375591E+14
6.7521156E+4 8.0888108E+14
7.5207695E+4 9.0447020E+14
8.3769261E+4 1.0111959E+15
9.3305466E+4 1.1289955E+15
1.0392726E+5 1.2569897E+15
1.1575824E+5 1.3933753E+15
1.2893603E+5 1.5354575E+15
1.4361398E+5 1.6798119E+15
1.5996284E+5 1.8224484E+15
1.7817285E+5 1.9589367E+15
1.9845586E+5 2.0845961E+15
2.2104787E+5 2.1948167E+15
2.4621173E+5 2.2854890E+15
2.7424021E+5 2.3534134E+15
3.0545943E+5 2.3965843E+15
3.4023262E+5 2.4142215E+15
3.7896435E+5 2.4064018E+15
4.2210526E+5 2.3732001E+15
4.7015728E+5 2.3133173E+15
5.2367949E+5 2.2221748E+15
5.8329463E+5 2.0896199E+15
6.4969628E+5 1.8983567E+15
7.2365703E+5 1.6258769E+15
8.0603739E+5 1.2528297E+15
8.9779585E+5 7.7678109E+14
1.0000000E+6 5.0815641E+14
