Nt Ew
4.5015469E-1 8.0501445E+2
4.4741583E-1 4.8918238E+1
4.4467694E-1 6.1365086E+2
4.4193806E-1 1.9427719E+3
4.3919918E-1 3.0686043E+3
4.3646030E-1 3.4020857E+3
4.3372142E-1 3.0227831E+3
4.3098254E-1 2.3888773E+3
4.2824366E-1 1.8583526E+3
4.2550479E-1 1.4573225E+3
4.2276590E-1 1.0143624E+3
4.2002702E-1 4.4342945E+2
4.1728815E-1 -1.2017252E+2
4.1454927E-1 -4.3143258E+2
4.1181039E-1 -3.4688616E+2
4.0907151E-1 7.5932548E+1
4.0633264E-1 6.5289913E+2
4.0359376E-1 1.2126324E+3
4.0085488E-1 1.6701102E+3
3.9811600E-1 2.0088548E+3
3.9537712E-1 2.2373200E+3
3.9263824E-1 2.3786654E+3
3.8989936E-1 2.4858652E+3
3.8716048E-1 2.6358722E+3
3.8442161E-1 2.8864191E+3
3.8168273E-1 3.2327466E+3
3.7894385E-1 3.6118421E+3
3.7620497E-1 3.9559791E+3
3.7346609E-1 4.2471683E+3
3.7072721E-1 4.5242241E+3
3.6798833E-1 4.8426044E+3
3.6524945E-1 5.2301841E+3
3.6251058E-1 5.6769850E+3
3.5977170E-1 6.1576026E+3
3.5703282E-1 6.6577953E+3
3.5429394E-1 7.1833343E+3
3.5155506E-1 7.7515390E+3
3.4881618E-1 8.3786288E+3
3.4607730E-1 9.0740176E+3
3.4333843E-1 9.8442251E+3
3.4059955E-1 1.0700870E+4
3.3786067E-1 1.1663663E+4
3.3512179E-1 1.2753464E+4
3.3238291E-1 1.3979233E+4
3.2964403E-1 1.5327961E+4
3.2690515E-1 1.6763675E+4
3.2416627E-1 1.8234731E+4
3.2142740E-1 1.9683451E+4
3.1868852E-1 2.1052400E+4
3.1594964E-1 2.2286038E+4
3.1321076E-1 2.3330726E+4
3.1047188E-1 2.4137250E+4
3.0773300E-1 2.4666353E+4
3.0499412E-1 2.4894123E+4
3.0225525E-1 2.4813080E+4
2.9951637E-1 2.4427171E+4
2.9677749E-1 2.3742139E+4
2.9403861E-1 2.2754246E+4
2.9129973E-1 2.1439012E+4
2.8856085E-1 1.9739081E+4
2.8582197E-1 1.7553374E+4
2.8308309E-1 1.4743565E+4
2.8034422E-1 1.1184339E+4
2.7760534E-1 6.8613959E+3
2.7486646E-1 4.4635671E+3
