fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_305 001_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.711693408E-15 1.000000000E+20 1.263857370E+00 4.331169876E-16 3.528928009E-04 
001_305_SRH 001_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.790525397E-16 1.000000000E+20 1.298555056E+00 4.190074763E-16 1.875980574E-03 
002_305 002_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.834665913E-15 1.000000000E+20 1.270894055E+00 6.270449231E-16 4.863782064E-04 
002_305_SRH 002_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.074718612E-16 1.000000000E+20 1.298583857E+00 6.149951653E-16 1.883370211E-03 
003_305 003_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.012790350E-15 1.000000000E+20 1.275941249E+00 9.118735084E-16 6.461276726E-04 
003_305_SRH 003_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.935831307E-16 1.000000000E+20 1.298625515E+00 9.026389983E-16 1.894166987E-03 
004_305 004_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.269393507E-15 1.000000000E+20 1.279523255E+00 1.330034922E-15 8.272040938E-04 
004_305_SRH 004_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.617618121E-16 1.000000000E+20 1.298685360E+00 1.324786293E-15 1.909908378E-03 
005_305 005_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.636082101E-15 1.000000000E+20 1.282058985E+00 1.943796242E-15 1.021735626E-03 
005_305_SRH 005_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.245048200E-15 1.000000000E+20 1.298770647E+00 1.944297524E-15 1.932788720E-03 
006_305 006_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.154104832E-15 1.000000000E+20 1.283867989E+00 2.844503893E-15 1.221371174E-03 
006_305_SRH 006_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.786576346E-15 1.000000000E+20 1.298890619E+00 2.853378917E-15 1.965900076E-03 
007_305 007_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.874362654E-15 1.000000000E+20 1.285187212E+00 4.166128991E-15 1.420529093E-03 
