T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph T SAD TDD
300 001_300 38.647 5.621560E-1 3.253815E+1 8.143740E+1 1.489610E+1 4.829000E-1 3.084719E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.000000E+9
300 002_300 38.647 5.621550E-1 3.253799E+1 8.143700E+1 1.489600E+1 4.829000E-1 3.084687E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.253000E+9
300 003_300 38.647 5.621550E-1 3.253778E+1 8.143660E+1 1.489580E+1 4.829000E-1 3.084648E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.571000E+9
300 004_300 38.647 5.621540E-1 3.253753E+1 8.143600E+1 1.489550E+1 4.829000E-1 3.084599E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.968000E+9
300 005_300 38.647 5.621530E-1 3.253720E+1 8.143530E+1 1.489520E+1 4.829000E-1 3.084538E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.467000E+9
300 006_300 38.647 5.621520E-1 3.253680E+1 8.143450E+1 1.489490E+1 4.829000E-1 3.084461E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.092000E+9
300 007_300 38.647 5.621500E-1 3.253630E+1 8.143340E+1 1.489440E+1 4.828810E-1 3.084489E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.875000E+9
300 008_300 38.647 5.621490E-1 3.253566E+1 8.143210E+1 1.489380E+1 4.828810E-1 3.084368E+1 1.000000E+2 3.000000E+2 1.000000E+15 4.856000E+9
300 009_300 38.647 5.621460E-1 3.253487E+1 8.143040E+1 1.489310E+1 4.828810E-1 3.084217E+1 1.000000E+2 3.000000E+2 1.000000E+15 6.086000E+9
300 010_300 38.647 5.621440E-1 3.253388E+1 8.142820E+1 1.489220E+1 4.828610E-1 3.084152E+1 1.000000E+2 3.000000E+2 1.000000E+15 7.627000E+9
300 011_300 38.647 5.621400E-1 3.253263E+1 8.142560E+1 1.489100E+1 4.828610E-1 3.083914E+1 1.000000E+2 3.000000E+2 1.000000E+15 9.559000E+9
300 012_300 38.647 5.621360E-1 3.253107E+1 8.142230E+1 1.488960E+1 4.828420E-1 3.083741E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.198000E+10
300 013_300 38.647 5.621300E-1 3.252912E+1 8.141810E+1 1.488780E+1 4.828220E-1 3.083493E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.501000E+10
300 014_300 38.647 5.621230E-1 3.252667E+1 8.141290E+1 1.488550E+1 4.827830E-1 3.083275E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.882000E+10
300 015_300 38.647 5.621150E-1 3.252361E+1 8.140640E+1 1.488270E+1 4.827640E-1 3.082815E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.358000E+10
300 016_300 38.647 5.621040E-1 3.251977E+1 8.139820E+1 1.487920E+1 4.827250E-1 3.082332E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.955000E+10
300 017_300 38.647 5.620900E-1 3.251497E+1 8.138800E+1 1.487480E+1 4.826660E-1 3.081790E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.704000E+10
300 018_300 38.647 5.620730E-1 3.250896E+1 8.137530E+1 1.486920E+1 4.826070E-1 3.081018E+1 1.000000E+2 3.000000E+2 1.000000E+15 4.642000E+10
300 019_300 38.647 5.620520E-1 3.250145E+1 8.135930E+1 1.486230E+1 4.825290E-1 3.080083E+1 1.000000E+2 3.000000E+2 1.000000E+15 5.817000E+10
300 020_300 38.647 5.620250E-1 3.249206E+1 8.133940E+1 1.485370E+1 4.824320E-1 3.078914E+1 1.000000E+2 3.000000E+2 1.000000E+15 7.290000E+10
300 021_300 38.647 5.619910E-1 3.248033E+1 8.131450E+1 1.484290E+1 4.823140E-1 3.077424E+1 1.000000E+2 3.000000E+2 1.000000E+15 9.137000E+10
300 022_300 38.647 5.619490E-1 3.246569E+1 8.128340E+1 1.482940E+1 4.821580E-1 3.075628E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.145000E+11
300 023_300 38.647 5.618960E-1 3.244744E+1 8.124480E+1 1.481260E+1 4.819630E-1 3.073393E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.435000E+11
300 024_300 38.647 5.618290E-1 3.242471E+1 8.119680E+1 1.479170E+1 4.817090E-1 3.070679E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.798000E+11
300 025_300 38.647 5.617460E-1 3.239644E+1 8.113720E+1 1.476580E+1 4.814160E-1 3.067162E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.254000E+11
300 026_300 38.647 5.616410E-1 3.236137E+1 8.106360E+1 1.473370E+1 4.810250E-1 3.062975E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.825000E+11
300 027_300 38.647 5.615090E-1 3.231796E+1 8.097290E+1 1.469400E+1 4.805570E-1 3.057705E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.540000E+11
300 028_300 38.647 5.613430E-1 3.226440E+1 8.086160E+1 1.464520E+1 4.799510E-1 3.051386E+1 1.000000E+2 3.000000E+2 1.000000E+15 4.437000E+11
300 029_300 38.647 5.611350E-1 3.219855E+1 8.072590E+1 1.458530E+1 4.792090E-1 3.043627E+1 1.000000E+2 3.000000E+2 1.000000E+15 5.560000E+11
300 030_300 38.647 5.608720E-1 3.211799E+1 8.056180E+1 1.451250E+1 4.782910E-1 3.034235E+1 1.000000E+2 3.000000E+2 1.000000E+15 6.968000E+11
300 031_300 38.647 5.605410E-1 3.201998E+1 8.036540E+1 1.442440E+1 4.771390E-1 3.023102E+1 1.000000E+2 3.000000E+2 1.000000E+15 8.733000E+11
300 032_300 38.647 5.601230E-1 3.190160E+1 8.013340E+1 1.431890E+1 4.757320E-1 3.009861E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.094000E+12
300 033_300 38.647 5.595760E-1 3.175981E+1 7.986840E+1 1.419420E+1 4.740330E-1 2.994353E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.372000E+12
300 034_300 38.647 5.588780E-1 3.159170E+1 7.956660E+1 1.404820E+1 4.720020E-1 2.976302E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.719000E+12
300 035_300 38.647 5.579950E-1 3.139473E+1 7.923320E+1 1.388010E+1 4.696190E-1 2.955617E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.154000E+12
300 036_300 38.647 5.568770E-1 3.116710E+1 7.887760E+1 1.369020E+1 4.668460E-1 2.932485E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.700000E+12
300 037_300 38.647 5.554600E-1 3.090802E+1 7.851810E+1 1.348010E+1 4.637600E-1 2.906705E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.384000E+12
300 038_300 38.647 5.536670E-1 3.061797E+1 7.816770E+1 1.325110E+1 4.604590E-1 2.877805E+1 1.000000E+2 3.000000E+2 1.000000E+15 4.241000E+12
300 039_300 38.647 5.514070E-1 3.029873E+1 7.785160E+1 1.300660E+1 4.569240E-1 2.846562E+1 1.000000E+2 3.000000E+2 1.000000E+15 5.315000E+12
300 040_300 38.647 5.485430E-1 2.995316E+1 7.760410E+1 1.275080E+1 4.533110E-1 2.812821E+1 1.000000E+2 3.000000E+2 1.000000E+15 6.661000E+12
300 041_300 38.647 5.450860E-1 2.960088E+1 7.742660E+1 1.249280E+1 4.496780E-1 2.778169E+1 1.000000E+2 3.000000E+2 1.000000E+15 8.348000E+12
300 042_300 38.647 5.411330E-1 2.921324E+1 7.731240E+1 1.222170E+1 4.459670E-1 2.740502E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.046000E+13
300 043_300 38.647 5.368010E-1 2.880953E+1 7.725440E+1 1.194740E+1 4.423540E-1 2.700866E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.311000E+13
300 044_300 38.647 5.323370E-1 2.839225E+1 7.721260E+1 1.167010E+1 4.387600E-1 2.659790E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.643000E+13
300 045_300 38.647 5.278240E-1 2.796322E+1 7.717900E+1 1.139140E+1 4.351460E-1 2.617821E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.059000E+13
300 046_300 38.647 5.233310E-1 2.752365E+1 7.714590E+1 1.111210E+1 4.316500E-1 2.574322E+1 1.000000E+2 3.000000E+2 1.000000E+15 2.581000E+13
300 047_300 38.647 5.188820E-1 2.707435E+1 7.710250E+1 1.083170E+1 4.281540E-1 2.529851E+1 1.000000E+2 3.000000E+2 1.000000E+15 3.234000E+13
300 048_300 38.647 5.144730E-1 2.661587E+1 7.705360E+1 1.055110E+1 4.246390E-1 2.484717E+1 1.000000E+2 3.000000E+2 1.000000E+15 4.054000E+13
300 049_300 38.647 5.101150E-1 2.614871E+1 7.699170E+1 1.026980E+1 4.212010E-1 2.438218E+1 1.000000E+2 3.000000E+2 1.000000E+15 5.080000E+13
300 050_300 38.647 5.057950E-1 2.567280E+1 7.692030E+1 9.988200E+0 4.177440E-1 2.390992E+1 1.000000E+2 3.000000E+2 1.000000E+15 6.367000E+13
300 051_300 38.647 5.015250E-1 2.518986E+1 7.683500E+1 9.706800E+0 4.142680E-1 2.343129E+1 1.000000E+2 3.000000E+2 1.000000E+15 7.979000E+13
300 052_300 38.647 4.972940E-1 2.469988E+1 7.673380E+1 9.425300E+0 4.108300E-1 2.294208E+1 1.000000E+2 3.000000E+2 1.000000E+15 1.000000E+14
300 053_300 38.647 6.218190E-1 3.221763E+1 8.309480E+1 1.664680E+1 5.416500E-1 3.073355E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.000000E+9
300 054_300 38.647 6.218170E-1 3.221743E+1 8.309460E+1 1.664660E+1 5.416310E-1 3.073426E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.253000E+9
300 055_300 38.647 6.218140E-1 3.221718E+1 8.309430E+1 1.664640E+1 5.416310E-1 3.073377E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.571000E+9
300 056_300 38.647 6.218110E-1 3.221686E+1 8.309380E+1 1.664600E+1 5.416310E-1 3.073316E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.968000E+9
300 057_300 38.647 6.218070E-1 3.221646E+1 8.309330E+1 1.664560E+1 5.416310E-1 3.073238E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.467000E+9
300 058_300 38.647 6.218020E-1 3.221596E+1 8.309270E+1 1.664510E+1 5.416110E-1 3.073252E+1 1.000000E+2 3.000000E+2 1.000000E+16 3.092000E+9
300 059_300 38.647 6.217950E-1 3.221534E+1 8.309190E+1 1.664440E+1 5.416110E-1 3.073131E+1 1.000000E+2 3.000000E+2 1.000000E+16 3.875000E+9
300 060_300 38.647 6.217870E-1 3.221456E+1 8.309090E+1 1.664360E+1 5.415920E-1 3.073090E+1 1.000000E+2 3.000000E+2 1.000000E+16 4.856000E+9
300 061_300 38.647 6.217770E-1 3.221358E+1 8.308970E+1 1.664260E+1 5.415720E-1 3.073011E+1 1.000000E+2 3.000000E+2 1.000000E+16 6.086000E+9
300 062_300 38.647 6.217640E-1 3.221235E+1 8.308810E+1 1.664130E+1 5.415530E-1 3.072883E+1 1.000000E+2 3.000000E+2 1.000000E+16 7.627000E+9
300 063_300 38.647 6.217480E-1 3.221081E+1 8.308620E+1 1.663970E+1 5.415330E-1 3.072696E+1 1.000000E+2 3.000000E+2 1.000000E+16 9.559000E+9
300 064_300 38.647 6.217280E-1 3.220889E+1 8.308370E+1 1.663760E+1 5.414940E-1 3.072544E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.198000E+10
300 065_300 38.647 6.217020E-1 3.220648E+1 8.308070E+1 1.663510E+1 5.414550E-1 3.072298E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.501000E+10
300 066_300 38.647 6.216710E-1 3.220346E+1 8.307690E+1 1.663190E+1 5.414160E-1 3.071935E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.882000E+10
300 067_300 38.647 6.216310E-1 3.219968E+1 8.307210E+1 1.662800E+1 5.413570E-1 3.071536E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.358000E+10
300 068_300 38.647 6.215820E-1 3.219496E+1 8.306620E+1 1.662300E+1 5.412790E-1 3.071065E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.955000E+10
300 069_300 38.647 6.215200E-1 3.218905E+1 8.305890E+1 1.661690E+1 5.411820E-1 3.070477E+1 1.000000E+2 3.000000E+2 1.000000E+16 3.704000E+10
300 070_300 38.647 6.214420E-1 3.218166E+1 8.304980E+1 1.660910E+1 5.410640E-1 3.069717E+1 1.000000E+2 3.000000E+2 1.000000E+16 4.642000E+10
300 071_300 38.647 6.213450E-1 3.217242E+1 8.303850E+1 1.659950E+1 5.409280E-1 3.068715E+1 1.000000E+2 3.000000E+2 1.000000E+16 5.817000E+10
300 072_300 38.647 6.212230E-1 3.216090E+1 8.302450E+1 1.658760E+1 5.407520E-1 3.067499E+1 1.000000E+2 3.000000E+2 1.000000E+16 7.290000E+10
300 073_300 38.647 6.210720E-1 3.214653E+1 8.300740E+1 1.657270E+1 5.405180E-1 3.066076E+1 1.000000E+2 3.000000E+2 1.000000E+16 9.137000E+10
300 074_300 38.647 6.208820E-1 3.212864E+1 8.298650E+1 1.655420E+1 5.402440E-1 3.064212E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.145000E+11
300 075_300 38.647 6.206460E-1 3.210638E+1 8.296100E+1 1.653140E+1 5.398930E-1 3.061977E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.435000E+11
300 076_300 38.647 6.203510E-1 3.207876E+1 8.293030E+1 1.650320E+1 5.394820E-1 3.059082E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.798000E+11
300 077_300 38.647 6.199840E-1 3.204456E+1 8.289370E+1 1.646860E+1 5.389550E-1 3.055650E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.254000E+11
300 078_300 38.647 6.195040E-1 3.200233E+1 8.285360E+1 1.642620E+1 5.383300E-1 3.051325E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.825000E+11
300 079_300 38.647 6.189130E-1 3.195038E+1 8.280670E+1 1.637460E+1 5.375680E-1 3.046054E+1 1.000000E+2 3.000000E+2 1.000000E+16 3.540000E+11
300 080_300 38.647 6.181890E-1 3.188675E+1 8.275270E+1 1.631220E+1 5.366500E-1 3.039639E+1 1.000000E+2 3.000000E+2 1.000000E+16 4.437000E+11
300 081_300 38.647 6.173060E-1 3.180921E+1 8.269160E+1 1.623730E+1 5.355760E-1 3.031753E+1 1.000000E+2 3.000000E+2 1.000000E+16 5.560000E+11
300 082_300 38.647 6.162380E-1 3.171534E+1 8.262440E+1 1.614830E+1 5.343070E-1 3.022287E+1 1.000000E+2 3.000000E+2 1.000000E+16 6.968000E+11
300 083_300 38.647 6.149570E-1 3.160253E+1 8.255160E+1 1.604320E+1 5.328220E-1 3.010994E+1 1.000000E+2 3.000000E+2 1.000000E+16 8.733000E+11
300 084_300 38.647 6.134370E-1 3.146818E+1 8.247540E+1 1.592080E+1 5.311230E-1 2.997580E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.094000E+12
300 085_300 38.647 6.116550E-1 3.130978E+1 8.239820E+1 1.577990E+1 5.292090E-1 2.981790E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.372000E+12
300 086_300 38.647 6.095800E-1 3.112521E+1 8.232500E+1 1.561980E+1 5.270800E-1 2.963454E+1 1.000000E+2 3.000000E+2 1.000000E+16 1.719000E+12
300 087_300 38.647 6.071740E-1 3.091288E+1 8.226350E+1 1.544050E+1 5.247360E-1 2.942517E+1 1.000000E+2 3.000000E+2 1.000000E+16 2.154000E+12
