N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 5.623e+15 340 1.136791288E+00 1.148992635E+00
1.468000E+10 5.623e+15 340 1.140452969E+00 1.149029617E+00
2.154000E+10 5.623e+15 340 1.143094638E+00 1.149083243E+00
3.162000E+10 5.623e+15 340 1.144994450E+00 1.149161418E+00
4.642000E+10 5.623e+15 340 1.146379198E+00 1.149276578E+00
6.813000E+10 5.623e+15 340 1.147421007E+00 1.149439642E+00
1.000000E+11 5.623e+15 340 1.148258747E+00 1.149671844E+00
1.468000E+11 5.623e+15 340 1.149002923E+00 1.149999841E+00
2.154000E+11 5.623e+15 340 1.149740990E+00 1.150452085E+00
3.162000E+11 5.623e+15 340 1.150548369E+00 1.151063154E+00
4.642000E+11 5.623e+15 340 1.151485817E+00 1.151864833E+00
6.813000E+11 5.623e+15 340 1.152597366E+00 1.152881909E+00
1.000000E+12 5.623e+15 340 1.153908798E+00 1.154126607E+00
1.468000E+12 5.623e+15 340 1.155425827E+00 1.155595562E+00
2.154000E+12 5.623e+15 340 1.158323230E+00 1.158458270E+00
3.162000E+12 5.623e+15 340 1.158567753E+00 1.158674956E+00
4.642000E+12 5.623e+15 340 1.160657891E+00 1.160744427E+00
6.813000E+12 5.623e+15 340 1.162427662E+00 1.162497808E+00
1.000000E+13 5.623e+15 340 1.163985473E+00 1.164042475E+00
1.468000E+13 5.623e+15 340 1.165561226E+00 1.165607712E+00
2.154000E+13 5.623e+15 340 1.167545942E+00 1.167578546E+00
3.162000E+13 5.623e+15 340 1.168962207E+00 1.168970083E+00
4.642000E+13 5.623e+15 340 1.170285014E+00 1.170290796E+00
