G/w f
1.0000000E+6 5.5631744E-6
8.9779585E+5 5.5840345E-6
8.0603739E+5 5.7032565E-6
7.2365703E+5 5.5412699E-6
6.4969628E+5 5.6549708E-6
5.8329463E+5 5.7921493E-6
5.2367949E+5 5.9121404E-6
4.7015728E+5 6.0214671E-6
4.2210526E+5 6.1183943E-6
3.7896435E+5 6.1878183E-6
3.4023262E+5 6.2300661E-6
3.0545943E+5 6.2291986E-6
2.7424021E+5 6.2216686E-6
2.4621173E+5 6.1859901E-6
2.2104787E+5 6.1152805E-6
1.9845586E+5 6.0191946E-6
1.7817285E+5 5.9359771E-6
1.5996284E+5 5.8101441E-6
1.4361398E+5 5.6967454E-6
1.2893603E+5 5.5888626E-6
1.1575824E+5 5.5245821E-6
1.0392726E+5 5.4356620E-6
9.3305466E+4 5.3942330E-6
8.3769261E+4 5.3645193E-6
7.5207695E+4 5.3885831E-6
6.7521156E+4 5.4155325E-6
6.0620214E+4 5.4753283E-6
5.4424577E+4 5.5792260E-6
4.8862159E+4 5.7675460E-6
4.3868244E+4 5.9712350E-6
3.9384728E+4 6.2146674E-6
3.5359445E+4 6.5567134E-6
3.1745563E+4 7.0099527E-6
2.8501035E+4 7.3729709E-6
2.5588111E+4 7.8635701E-6
2.2972900E+4 8.4153688E-6
2.0624974E+4 9.1808903E-6
1.8517016E+4 9.8865061E-6
1.6624501E+4 1.0669610E-5
1.4925408E+4 1.1808479E-5
1.3399969E+4 1.2817166E-5
1.2030437E+4 1.4059585E-5
1.0800876E+4 1.5643317E-5
9.6969820E+3 1.7151580E-5
8.7059100E+3 1.8851003E-5
7.8161300E+3 2.1073894E-5
7.0172890E+3 2.3152343E-5
6.3000930E+3 2.5614025E-5
5.6561970E+3 2.8390523E-5
5.0781110E+3 3.1535911E-5
4.5591070E+3 3.5038021E-5
4.0931470E+3 3.8943308E-5
3.6748100E+3 4.3193242E-5
3.2992300E+3 4.8139297E-5
2.9620350E+3 5.3409788E-5
2.6593020E+3 5.9389449E-5
2.3875110E+3 6.6490478E-5
2.1434970E+3 7.3971986E-5
1.9244230E+3 8.2013636E-5
1.7277390E+3 9.2221041E-5
1.5511570E+3 1.0277520E-4
1.3926220E+3 1.1252630E-4
1.2502900E+3 1.2629190E-4
1.1225050E+3 1.4236220E-4
1.0077810E+3 1.5697365E-4
9.0478100E+2 1.7329407E-4
8.1230900E+2 1.9364289E-4
7.2928800E+2 2.1850696E-4
6.5475100E+2 2.4246369E-4
5.8783300E+2 2.7241795E-4
5.2775400E+2 3.0124375E-4
4.7381500E+2 3.3454698E-4
4.2539000E+2 3.7154706E-4
3.8191300E+2 4.2025690E-4
3.4288000E+2 4.6510653E-4
3.0783600E+2 5.0720228E-4
2.7637400E+2 5.7500569E-4
2.4812700E+2 6.3368835E-4
2.2276800E+2 7.1276937E-4
2.0000000E+2 7.9700342E-4
