Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.176946255E+00 1.058379438E+00 1.185668170E-01 1.176004605E+00 1.053558954E+00 1.224456510E-01 9.416500000E-04 4.820484000E-03
1.468000E+10 1.177140953E+00 1.058414672E+00 1.187262810E-01 1.176493957E+00 1.055036791E+00 1.214571660E-01 6.469960000E-04 3.377881000E-03
2.154000E+10 1.177423614E+00 1.058465673E+00 1.189579410E-01 1.176979715E+00 1.056117344E+00 1.208623710E-01 4.438990000E-04 2.348329000E-03
3.162000E+10 1.177831931E+00 1.058539771E+00 1.192921600E-01 1.177527533E+00 1.056915960E+00 1.206115730E-01 3.043980000E-04 1.623811000E-03
4.642000E+10 1.178417509E+00 1.058647531E+00 1.197699780E-01 1.178208679E+00 1.057528454E+00 1.206802250E-01 2.088300000E-04 1.119077000E-03
6.813000E+10 1.179248568E+00 1.058803833E+00 1.204447350E-01 1.179105071E+00 1.058033914E+00 1.210711570E-01 1.434970000E-04 7.699190000E-04
1.000000E+11 1.180410529E+00 1.059029572E+00 1.213809570E-01 1.180311618E+00 1.058500140E+00 1.218114780E-01 9.891100000E-05 5.294320000E-04
1.468000E+11 1.182001302E+00 1.059353536E+00 1.226477660E-01 1.181932771E+00 1.058989128E+00 1.229436430E-01 6.853100000E-05 3.644080000E-04
2.154000E+11 1.184116744E+00 1.059813827E+00 1.243029170E-01 1.184068862E+00 1.059562481E+00 1.245063810E-01 4.788200000E-05 2.513460000E-04
3.162000E+11 1.186822240E+00 1.060459267E+00 1.263629730E-01 1.186788365E+00 1.060285208E+00 1.265031570E-01 3.387500000E-05 1.740590000E-04
4.642000E+11 1.190113189E+00 1.061347907E+00 1.287652820E-01 1.190088787E+00 1.061226807E+00 1.288619800E-01 2.440200000E-05 1.211000000E-04
6.813000E+11 1.193882070E+00 1.062542967E+00 1.313391030E-01 1.193864064E+00 1.062458129E+00 1.314059350E-01 1.800600000E-05 8.483800000E-05
1.000000E+12 1.197925241E+00 1.064103770E+00 1.338214710E-01 1.197911576E+00 1.064043791E+00 1.338677850E-01 1.366500000E-05 5.997900000E-05
1.468000E+12 1.202011859E+00 1.066074093E+00 1.359377660E-01 1.202001175E+00 1.066031253E+00 1.359699220E-01 1.068400000E-05 4.284000000E-05
2.154000E+12 1.205984276E+00 1.068470828E+00 1.375134480E-01 1.205975677E+00 1.068439883E+00 1.375357940E-01 8.599000000E-06 3.094500000E-05
3.162000E+12 1.209812616E+00 1.071275885E+00 1.385367310E-01 1.209805526E+00 1.071253293E+00 1.385522330E-01 7.090000000E-06 2.259200000E-05
4.642000E+12 1.213561421E+00 1.074429238E+00 1.391321830E-01 1.213555451E+00 1.074412602E+00 1.391428490E-01 5.970000000E-06 1.663600000E-05
6.813000E+12 1.217312698E+00 1.077820884E+00 1.394918140E-01 1.217307591E+00 1.077808498E+00 1.394990930E-01 5.107000000E-06 1.238600000E-05
1.000000E+13 1.221114381E+00 1.081292614E+00 1.398217670E-01 1.221109964E+00 1.081283331E+00 1.398266330E-01 4.417000000E-06 9.283000000E-06
